OTUID,sum_TS,no_samples_TS,av_TS,pcntSamples_TS,sum_MC,samples_MC,av_MC,pcntSamples_MC
EU803786.1.1256,526,148,4,64,19,5,3.8,19.23076923
FJ381976.1.1345,504,97,5,42,0,0,0,0
HM129033.1.1447,492,34,14,15,0,0,0,0
KF097628.1.1345,481,1,481,3.846153846,481,1,481,3.846153846
GU127206.1.1228,475,89,5,38,0,0,0,0
HM128717.1.1432,466,88,5,38,0,0,0,0
AJ867754.1.1521,450,10,45,38.46153846,450,10,45,38.46153846
EU800657.1.1249,445,160,3,69,0,0,0,0
GQ340074.1.1468,445,99,4,43,0,0,0,0
GU305823.1.1564,430,46,9,20,0,0,0,0
HM129375.1.1455,419,153,3,66,0,0,0,0
AF414577.1.1396,417,119,4,51,0,0,0,0
FJ745191.1.1322,413,138,3,59,0,0,0,0
HM129561.1.1443,411,7,58.71428571,26.92307692,411,7,58.71428571,26.92307692
HM127377.1.1441,408,117,3,50,0,0,0,0
EF019811.1.1352,404,31,13,13,0,0,0,0
EU703338.1.1342,403,76,5,33,0,0,0,0
HM856482.1.1436,402,133,3,57,0,0,0,0
LN871456.1.1477,401,44,9,19,0,0,0,0
HQ597083.1.1450,394,71,6,31,0,0,0,0
FN668020.1.1490,384,74,5,32,0,0,0,0
FN668126.1.1484,378,112,3,48,0,0,0,0
EU803898.1.1463,372,125,3,54,0,0,0,0
AB753899.1.1448,371,95,4,41,0,0,0,0
GQ130142.1.1451,370,87,4,38,0,0,0,0
AB753955.1.1444,352,72,5,31,0,0,0,0
HM128604.1.1442,351,103,3,44,0,0,0,0
FR772057.1.1466,335,3,111.6666667,11.53846154,335,3,111.6666667,11.53846154
KP687114.1.1453,333,121,3,52,0,0,0,0
JX448591.1.1333,333,117,3,50,0,0,0,0
EU234319.1.1490,332,121,3,52,0,0,0,0
JN207233.1.1300,325,63,5,27,0,0,0,0
AJ575701.1.1473,325,104,3,45,5,2,2.5,7.692307692
KF799414.1.1435,324,71,5,31,0,0,0,0
GQ340081.1.1356,321,87,4,38,0,0,0,0
FJ820479.1.1477,303,72,4,31,0,0,0,0
JF697432.1.1492,291,132,2,57,11,7,1.571428571,26.92307692
KC253350.1.1487,288,85,3,37,0,0,0,0
JX304649.1.1325,281,6,46.83333333,23.07692308,281,6,46.83333333,23.07692308
AF316766.1.1445,278,77,4,33,0,0,0,0
GQ302541.1.1484,276,51,5,22,0,0,0,0
FQ659590.1.1312,275,101,3,44,0,0,0,0
GU305739.1.1450,273,66,4,28,0,0,0,0
FM242285.1.1451,273,82,3,35,0,0,0,0
KP686608.1.1447,270,57,5,25,0,0,0,0
EF471629.1.1438,269,52,5,22,0,0,0,0
JN868732.1.1532,268,97,3,42,0,0,0,0
HQ856336.1.1448,266,53,5,23,0,0,0,0
FN421591.1.1413,265,37,7,16,0,0,0,0
AB753922.1.1459,265,1,265,3.846153846,265,1,265,3.846153846
JQ684283.1.1500,264,101,3,44,0,0,0,0
AB753964.1.1456,263,88,3,38,0,0,0,0
AB930744.1.1489,263,94,3,41,0,0,0,0
EF632769.1.1354,259,35,7,15,0,0,0,0
HM446087.1.1415,259,55,5,24,0,0,0,0
FN668214.1.1474,254,76,3,33,0,0,0,0
GU305760.1.1474,253,113,2,49,0,0,0,0
HE574374.1.1795,252,99,3,43,0,0,0,0
HM126765.1.1391,251,82,3,35,0,0,0,0
HQ856435.1.1447,251,4,62.75,15.38461538,251,4,62.75,15.38461538
JN391563.1.1481,245,100,2,43,0,0,0,0
AB900796.1.1389,245,60,4,26,0,0,0,0
JN868973.1.1510,239,118,2,51,4,3,1.333333333,11.53846154
GU305847.1.1458,234,59,4,25,0,0,0,0
JX887886.1.1448,232,62,4,27,0,0,0,0
HM856571.1.1445,229,128,2,55,3,3,1,11.53846154
AB753958.1.1446,224,70,3,30,0,0,0,0
HE574348.1.1420,221,72,3,31,0,0,0,0
HE574373.1.1890,219,41,5,18,2,1,2,3.846153846
GQ923925.1.1382,217,106,2,46,0,0,0,0
EU800504.1.1478,217,111,2,48,0,0,0,0
JF697392.1.1466,217,94,2,41,0,0,0,0
GU936888.1.1457,216,58,4,25,0,0,0,0
FN668308.1.1471,214,105,2,45,0,0,0,0
FJ960103.1.1365,214,71,3,31,0,0,0,0
GQ500814.1.1436,212,115,2,50,0,0,0,0
HM856438.1.1457,211,70,3,30,0,0,0,0
HM129990.1.1435,209,108,2,47,0,0,0,0
HQ111163.1.1491,205,70,3,30,0,0,0,0
EU703404.1.1487,202,92,2,40,0,0,0,0
AF361198.1.1498,199,79,3,34,0,0,0,0
AZHS01000013.11871.13367,197,120,2,52,0,0,0,0
JQ941843.1.1364,194,102,2,44,9,5,1.8,19.23076923
HQ661210.1.1432,193,49,4,21,0,0,0,0
FR774626.1.1366,193,10,19.3,38.46153846,193,10,19.3,38.46153846
FN668098.1.1488,192,59,3,25,0,0,0,0
AB753985.1.1458,190,42,5,18,0,0,0,0
FN550136.1.1476,188,80,2,34,0,0,0,0
FN668191.1.1477,187,78,2,34,0,0,0,0
DQ223087.1.1346,187,49,4,21,0,0,0,0
HM126781.1.1455,186,96,2,41,0,0,0,0
JN869123.1.1501,183,96,2,41,3,2,1.5,7.692307692
GU305761.1.1481,182,100,2,43,0,0,0,0
JN869032.1.1484,181,89,2,38,0,0,0,0
HM129400.1.1417,179,73,2,31,0,0,0,0
KT453615.1.1204,176,60,3,26,0,0,0,0
EU800891.1.1461,174,77,2,33,0,0,0,0
FJ936865.1.1487,173,29,6,13,0,0,0,0
FJ230908.1.1504,169,37,5,16,0,0,0,0
GU941014.1.1261,164,58,3,25,0,0,0,0
AB179533.1.1497,164,76,2,33,0,0,0,0
FJ827863.1.1488,162,92,2,40,0,0,0,0
FJ612137.1.1475,162,47,3,20,0,0,0,0
JN869018.1.1519,162,90,2,39,0,0,0,0
KU713293.1.1344,162,40,4,17,0,0,0,0
GQ390219.1.1456,162,44,4,19,0,0,0,0
JN679148.1.1489,161,64,3,28,0,0,0,0
JF703353.1.1412,161,61,3,26,0,0,0,0
FJ612270.1.1394,160,47,3,20,0,0,0,0
GQ340146.1.1393,159,54,3,23,0,0,0,0
JN869141.1.1478,158,58,3,25,0,0,0,0
KU713226.1.1348,157,81,2,35,0,0,0,0
FJ382059.1.1209,156,11,14.18181818,42.30769231,156,11,14.18181818,42.30769231
AF361205.1.1491,153,64,2,28,0,0,0,0
GU305765.1.1485,152,79,2,34,0,0,0,0
JF830155.1.1494,152,39,4,17,0,0,0,0
GQ340086.1.1392,150,34,4,15,0,0,0,0
EU801715.1.1271,134,8,16.75,30.76923077,134,8,16.75,30.76923077
EF632770.1.1473,126,3,42,11.53846154,126,3,42,11.53846154
FJ502260.1.1488,126,3,42,11.53846154,126,3,42,11.53846154
JX221823.1.1478,113,5,22.6,19.23076923,113,5,22.6,19.23076923
JX221982.1.1396,113,3,37.66666667,11.53846154,113,3,37.66666667,11.53846154
JX521012.1.1454,86,1,86,3.846153846,86,1,86,3.846153846
HM186088.1.1298,61,2,30.5,7.692307692,61,2,30.5,7.692307692
FR667253.1.1384,47,1,47,3.846153846,47,1,47,3.846153846
HM263347.1.1344,35,3,11.66666667,11.53846154,35,3,11.66666667,11.53846154
AF321036.1.1344,34,1,34,3.846153846,34,1,34,3.846153846
GU208444.1.1502,30,8,3.75,30.76923077,30,8,3.75,30.76923077
GABT01019963.848.2718,26,1,26,3.846153846,26,1,26,3.846153846
JQ923537.1.1499,26,7,3.714285714,26.92307692,26,7,3.714285714,26.92307692
JX448570.1.1261,25,5,5,19.23076923,25,5,5,19.23076923
AEMH01007120.1017.2392,23,1,23,3.846153846,23,1,23,3.846153846
FN421555.1.1369,22,2,11,7.692307692,22,2,11,7.692307692
HQ230144.1.1457,22,7,3.142857143,26.92307692,22,7,3.142857143,26.92307692
HM346776.1.1224,20,8,2.5,30.76923077,20,8,2.5,30.76923077
FQ658557.1.1361,19,1,19,3.846153846,19,1,19,3.846153846
AB021390.1.1508,19,1,19,3.846153846,19,1,19,3.846153846
HM638233.1.1390,17,2,8.5,7.692307692,17,2,8.5,7.692307692
JF139490.1.1343,17,6,2.833333333,23.07692308,17,6,2.833333333,23.07692308
JQ684482.1.1407,16,5,3.2,19.23076923,16,5,3.2,19.23076923
AB252076.1.1805,15,8,1.875,30.76923077,15,8,1.875,30.76923077
FJ612158.1.1443,14,1,14,3.846153846,14,1,14,3.846153846
FJ612147.1.1493,14,2,7,7.692307692,14,2,7,7.692307692
JX949883.1.1372,13,3,4.333333333,11.53846154,13,3,4.333333333,11.53846154
FM201052.1.1344,13,1,13,3.846153846,13,1,13,3.846153846
AY250093.1.1455,12,8,1.5,30.76923077,12,8,1.5,30.76923077
GACN01029607.149.2074,11,2,5.5,7.692307692,11,2,5.5,7.692307692
EU800571.1.1447,11,2,5.5,7.692307692,11,2,5.5,7.692307692
FN421585.1.1365,9,1,9,3.846153846,9,1,9,3.846153846
AY752098.1.1391,8,1,8,3.846153846,8,1,8,3.846153846
JN869030.1.1506,8,3,2.666666667,11.53846154,8,3,2.666666667,11.53846154
JF118092.1.1357,8,1,8,3.846153846,8,1,8,3.846153846
HM129614.1.1455,8,5,1.6,19.23076923,8,5,1.6,19.23076923
FJ976563.1.1391,8,1,8,3.846153846,8,1,8,3.846153846
GAOK01049488.5421.6827,7,2,3.5,7.692307692,7,2,3.5,7.692307692
HQ178716.1.1411,7,1,7,3.846153846,7,1,7,3.846153846
AY212596.1.1287,7,5,1.4,19.23076923,7,5,1.4,19.23076923
HG917444.1.1444,7,5,1.4,19.23076923,7,5,1.4,19.23076923
AB199569.1.1459,7,5,1.4,19.23076923,7,5,1.4,19.23076923
KT350432.1.1533,7,1,7,3.846153846,7,1,7,3.846153846
HQ178879.1.1433,6,5,1.2,19.23076923,6,5,1.2,19.23076923
JN020180.1.1372,5,1,5,3.846153846,5,1,5,3.846153846
EU801647.1.1478,5,5,1,19.23076923,5,5,1,19.23076923
HQ178852.1.1434,5,1,5,3.846153846,5,1,5,3.846153846
JN869113.1.1505,5,3,1.666666667,11.53846154,5,3,1.666666667,11.53846154
EU705057.1.1276,5,3,1.666666667,11.53846154,5,3,1.666666667,11.53846154
HM481364.1.1461,5,4,1.25,15.38461538,5,4,1.25,15.38461538
GQ500799.1.1497,5,2,2.5,7.692307692,5,2,2.5,7.692307692
FN668268.1.1474,4,2,2,7.692307692,4,2,2,7.692307692
HM016168.1.1389,4,1,4,3.846153846,4,1,4,3.846153846
JX015603.1.1441,4,1,4,3.846153846,4,1,4,3.846153846
GU574353.1.1321,4,2,2,7.692307692,4,2,2,7.692307692
AB990448.1.1459,4,1,4,3.846153846,4,1,4,3.846153846
JX223188.1.1364,4,3,1.333333333,11.53846154,4,3,1.333333333,11.53846154
GQ059663.1.1344,3,1,3,3.846153846,3,1,3,3.846153846
KC683060.1.1482,3,1,3,3.846153846,3,1,3,3.846153846
JX222019.1.1499,3,1,3,3.846153846,3,1,3,3.846153846
KF441562.1.1494,2,1,2,3.846153846,2,1,2,3.846153846
HQ111526.1.1402,2,1,2,3.846153846,2,1,2,3.846153846
EU803252.1.1450,2,2,1,7.692307692,2,2,1,7.692307692
GQ388901.1.1482,2,1,2,3.846153846,2,1,2,3.846153846
EU800554.1.1494,2,1,2,3.846153846,2,1,2,3.846153846
EU801144.1.1494,2,1,2,3.846153846,2,1,2,3.846153846
AB806518.1.1446,2,1,2,3.846153846,2,1,2,3.846153846
CU927369.1.1351,2,2,1,7.692307692,2,2,1,7.692307692
KF010745.1.1485,2,2,1,7.692307692,2,2,1,7.692307692
FJ382067.1.1235,2,2,1,7.692307692,2,2,1,7.692307692
HM445936.1.1502,2,1,2,3.846153846,2,1,2,3.846153846
