class	run4.1	run4.10	run4.100	run4.101	run4.102	run4.103	run4.104	run4.105	run4.106	run4.107	run4.108	run4.109	run4.11	run4.110	run4.111	run4.112	run4.113	run4.114	run4.115	run4.116	run4.117	run4.118	run4.119	run4.12	run4.120	run4.121	run4.122	run4.123	run4.124	run4.125	run4.126	run4.127	run4.128	run4.129	run4.13	run4.130	run4.131	run4.132	run4.133	run4.134	run4.135	run4.136	run4.138	run4.139	run4.14	run4.140	run4.141	run4.142	run4.143	run4.144	run4.145	run4.146	run4.147	run4.148	run4.149	run4.15	run4.150	run4.151	run4.152	run4.153	run4.154	run4.155	run4.156	run4.157	run4.158	run4.159	run4.16	run4.160	run4.161	run4.162	run4.163	run4.164	run4.165	run4.166	run4.167	run4.168	run4.169	run4.17	run4.170	run4.171	run4.172	run4.173	run4.174	run4.176	run4.177	run4.178	run4.179	run4.18	run4.180	run4.181	run4.182	run4.183	run4.184	run4.185	run4.186	run4.187	run4.188	run4.189	run4.190	run4.191	run4.192	run4.193	run4.194	run4.195	run4.196	run4.197	run4.199	run4.2	run4.20	run4.200	run4.202	run4.203	run4.204	run4.205	run4.21	run4.22	run4.23	run4.24	run4.25	run4.26	run4.27	run4.28	run4.29	run4.3	run4.30	run4.31	run4.32	run4.33	run4.34	run4.35	run4.36	run4.37	run4.38	run4.39	run4.4	run4.40	run4.41	run4.42	run4.43	run4.44	run4.45	run4.46	run4.47	run4.48	run4.49	run4.5	run4.50	run4.51	run4.52	run4.53	run4.54	run4.55	run4.56	run4.57	run4.58	run4.59	run4.6	run4.60	run4.62	run4.63	run4.64	run4.65	run4.66	run4.67	run4.68	run4.69	run4.7	run4.70	run4.71	run4.72	run4.73	run4.74	run4.75	run4.76	run4.77	run4.78	run4.79	run4.8	run4.80	run4.81	run4.82	run4.83	run4.84	run4.85	run4.86	run4.87	run4.88	run4.89	run4.9	run4.90	run4.91	run4.92	run4.93	run4.94	run4.95	run4.96	run4.97	run4.98	run4.99	S10a	S11a	S13a	S14a	S15a	S16a	S17a	S18a	S19a	S1a	S20a	S21a	S22a	S23a	S24a	S25a	S26a	S27a	S2a	S3a	S45a	S46a	S47a	S48a	S49a	S4a	S50a	S51a	S5a	S6a	S7a	S8a	S9a
k__Bacteria;p__Acidobacteria;c__Holophagae	0.002	0.006666667	0	0.001333333	0	0.009333333	0.000666667	0.023333333	0	0.01	0.002666667	0	0.000666667	0	0	0.004666667	0	0.001333333	0.002666667	0	0.001333333	0.000666667	0.004666667	0.004	0.005333333	0.004	0.002	0	0.004	0.004666667	0	0.000666667	0.002	0.000666667	0.010666667	0.002	0.001333333	0.001333333	0.000666667	0.000666667	0.000666667	0	0.000666667	0	0.006	0.000666667	0	0.001333333	0	0.000666667	0	0	0	0.002	0	0.003333333	0	0	0.001333333	0	0	0.001333333	0.000666667	0	0	0.000666667	0	0	0.005333333	0.001333333	0.006	0.004	0	0.002	0.001333333	0	0.001333333	0.001333333	0.004	0.002666667	0.003333333	0.002666667	0.002	0.002	0.003333333	0.000666667	0.002666667	0.002666667	0.007333333	0.006	0.001333333	0.020666667	0.004	0.018666667	0.005333333	0	0.003333333	0.000666667	0	0	0	0	0.001333333	0	0	0.000666667	0.006	0.006666667	0.001333333	0	0	0	0	0	0.010666667	0.008	0.002	0.002666667	0.001333333	0.002666667	0	0	0.001333333	0.011333333	0	0	0.003333333	0.004666667	0.000666667	0.001333333	0.000666667	0.008	0.006666667	0.003333333	0.002	0.002	0.002	0.000666667	0.002666667	0.000666667	0.012666667	0.002666667	0.003333333	0	0.002666667	0.002666667	0.001333333	0.012	0	0	0.002	0	0.000666667	0.006	0.000666667	0.015333333	0.007333333	0.014666667	0.000666667	0.000666667	0.002	0.000666667	0.008	0.000666667	0.004666667	0.000666667	0.004	0.002	0.006	0.002	0	0	0.001333333	0.000666667	0.014	0.000666667	0	0.000666667	0	0	0.010666667	0.008	0.002666667	0.002	0.001333333	0.014666667	0.029333333	0.002	0.003333333	0.002	0.002	0.000666667	0.019333333	0	0	0.000666667	0.003333333	0.000666667	0.004	0	0.000666667	0.002	0	0.005333333	0	0.000666667	0	0	0.004	0	0	0	0	0.000666667	0.000666667	0.001333333	0.005333333	0.000666667	0.000666667	0	0.005333333	0.009333333	0.016666667	0.029333333	0.001333333	0.031333333	0.020666667	0.000666667	0.002	0	0	0
k__Bacteria;p__Acidobacteria;c__RB25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Solibacteres	0.004	0.002	0.002	0.006	0.004666667	0	0	0.005333333	0.002	0.004666667	0.006	0.006	0.002	0.001333333	0.003333333	0.004666667	0.002666667	0.000666667	0.005333333	0.008	0	0.009333333	0.000666667	0.001333333	0.006666667	0.002	0.000666667	0.000666667	0.008	0.004	0	0.000666667	0	0.000666667	0.004666667	0	0	0.000666667	0	0	0	0	0	0	0.016	0	0	0.000666667	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0.002	0.000666667	0.001333333	0.001333333	0	0	0.000666667	0.001333333	0.003333333	0.000666667	0.000666667	0.001333333	0	0	0	0	0	0.000666667	0.001333333	0.000666667	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0	0.000666667	0	0.001333333	0	0	0.001333333	0.004	0.008	0.001333333	0	0	0.000666667	0.000666667	0	0.011333333	0.003333333	0.000666667	0	0.015333333	0.000666667	0.002	0.002666667	0.002	0.012	0.001333333	0.002	0	0.013333333	0.005333333	0.020666667	0.004666667	0.014666667	0.014666667	0	0.008	0.002666667	0.003333333	0	0.008	0	0.016666667	0.005333333	0.002	0.001333333	0.000666667	0.000666667	0.001333333	0.003333333	0.008666667	0.003333333	0.002	0	0.008	0.003333333	0	0.010666667	0.021333333	0.002666667	0.004	0.002	0.012	0.001333333	0.006	0.002666667	0.000666667	0.000666667	0.003333333	0	0.007333333	0.000666667	0.001333333	0.002666667	0.000666667	0.000666667	0.004	0	0.001333333	0.001333333	0.000666667	0.000666667	0.003333333	0.003333333	0.001333333	0	0.002	0.001333333	0.006666667	0	0.000666667	0	0	0.001333333	0.005333333	0	0.003333333	0	0.002	0	0.000666667	0	0	0.002	0.001333333	0.000666667	0	0	0.000666667	0.000666667	0	0.000666667	0	0	0.000666667	0.000666667	0	0	0.000666667	0.000666667	0	0.003333333	0	0.001333333	0.004666667	0.002666667	0	0.002	0.002666667	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0.002	0	0.001333333	0.000666667	0.000666667	0	0	0.000666667	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0.001333333	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0.001333333	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0.001333333	0	0.000666667	0	0	0.000666667	0.000666667	0	0	0	0	0.000666667	0.000666667	0	0.001333333	0.000666667	0	0	0	0.002	0	0	0	0.001333333	0.001333333	0.000666667	0	0.000666667	0	0	0	0	0	0	0.000666667	0	0.000666667	0	0	0	0	0	0	0	0.001333333	0.000666667	0	0	0	0	0	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0.002	0.003333333	0	0	0	0	0.000666667	0	0.000666667	0	0	0.002	0	0.000666667	0	0	0	0	0.000666667	0.000666667	0	0	0.000666667	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0.001333333	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__iii1-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.046666667	0.046666667	0.043333333	0.045333333	0.048666667	0.049333333	0.014	0.131333333	0.030666667	0.132	0.026666667	0.076666667	0.056	0.046	0.048	0.033333333	0.042666667	0.064	0.024666667	0.046	0.079333333	0.055333333	0.046	0.042666667	0.093333333	0.093333333	0.079333333	0.021333333	0.165333333	0.048666667	0.014666667	0.038	0.060666667	0.053333333	0.088666667	0.033333333	0.025333333	0.034	0.027333333	0.046666667	0.074	0.046666667	0.026666667	0.017333333	0.096666667	0.024666667	0.061333333	0.072	0.016	0.128666667	0.235333333	0.035333333	0.127333333	0.168666667	0.155333333	0.1	0.166	0.09	0.203333333	0.297333333	0.130666667	0.164666667	0.3	0.282	0.37	0.110666667	0.07	0.254	0.105333333	0.210666667	0.283333333	0.154	0.095333333	0.224666667	0.118	0.230666667	0.180666667	0.148666667	0.16	0.208	0.316666667	0.150666667	0.310666667	0.181333333	0.068	0.072666667	0.199333333	0.063333333	0.194	0.225333333	0.156	0.253333333	0.100666667	0.200666667	0.124	0.157333333	0.076666667	0.284	0.231333333	0.188	0.104	0.217333333	0.236	0.266	0.37	0.120666667	0.134	0.072	0.077333333	0.202666667	0.446666667	0.126	0.06	0.165333333	0.068666667	0.088666667	0.089333333	0.056666667	0.103333333	0.048	0.059333333	0.059333333	0.026666667	0.09	0.046	0.040666667	0.048666667	0.059333333	0.091333333	0.11	0.058666667	0.086	0.083333333	0.054	0.056	0.062	0.03	0.085333333	0.071333333	0.042	0.102	0.056666667	0.048	0.048666667	0.076666667	0.030666667	0.048	0.132	0.050666667	0.046666667	0.050666667	0.049333333	0.083333333	0.134666667	0.092666667	0.128666667	0.072	0.131333333	0.044	0.030666667	0.079333333	0.117333333	0.293333333	0.028	0.062	0.042666667	0.041333333	0.129333333	0.106666667	0.151333333	0.046	0.071333333	0.143333333	0.022666667	0.05	0.134	0.024666667	0.060666667	0.120666667	0.026666667	0.112666667	0.108666667	0.042	0.070666667	0.088666667	0.116666667	0.107333333	0.078666667	0.036	0.13	0.048	0.016666667	0.082	0.094666667	0.144666667	0.075333333	0.044	0.029333333	0.069333333	0.228	0.226666667	0.227333333	0.170666667	0.157333333	0.153333333	0.158	0.200666667	0.197333333	0.122	0.213333333	0.142	0.141333333	0.187333333	0.176	0.214666667	0.236	0.254666667	0.140666667	0.136	0.203333333	0.208	0.200666667	0.189333333	0.122	0.078	0.123333333	0.134666667	0.13	0.189333333	0.119333333	0.225333333	0.074666667
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.279333333	0.236666667	0.292	0.186	0.288	0.046666667	0.104	0.184666667	0.493333333	0.262666667	0.250666667	0.277333333	0.252666667	0.304666667	0.196666667	0.242	0.294	0.266666667	0.155333333	0.348	0.486666667	0.349333333	0.286	0.217333333	0.138666667	0.161333333	0.141333333	0.031333333	0.148666667	0.094	0.039333333	0.136666667	0.145333333	0.151333333	0.324666667	0.162	0.070666667	0.076	0.046	0.11	0.112	0.066	0.092	0.050666667	0.098	0.083333333	0.088666667	0.156666667	0.044666667	0.212666667	0.406666667	0.134	0.246	0.204	0.216	0.244666667	0.238	0.451333333	0.252	0.375333333	0.552666667	0.381333333	0.309333333	0.413333333	0.306	0.573333333	0.456666667	0.451333333	0.474	0.476	0.455333333	0.311333333	0.498	0.533333333	0.658666667	0.460666667	0.414666667	0.272666667	0.522	0.393333333	0.270666667	0.446	0.465333333	0.513333333	0.588666667	0.802666667	0.484	0.418	0.442666667	0.274666667	0.65	0.409333333	0.650666667	0.563333333	0.726666667	0.781333333	0.767333333	0.461333333	0.66	0.616	0.702666667	0.614	0.526	0.605333333	0.5	0.583333333	0.468666667	0.297333333	0.116	0.593333333	0.403333333	0.600666667	0.750666667	0.511333333	0.272	0.123333333	0.430666667	0.131333333	0.246666667	0.332	0.646	0.385333333	0.105333333	0.175333333	0.583333333	0.399333333	0.454	0.184	0.501333333	0.228666667	0.396	0.324666667	0.399333333	0.356666667	0.259333333	0.321333333	0.382	0.463333333	0.224666667	0.313333333	0.162	0.335333333	0.489333333	0.216	0.34	0.087333333	0.508	0.328666667	0.342666667	0.491333333	0.57	0.306	0.413333333	0.296	0.527333333	0.246	0.081333333	0.254	0.334	0.458	0.284666667	0.406	0.291333333	0.331333333	0.265333333	0.296	0.276	0.362666667	0.307333333	0.363333333	0.362	0.254666667	0.255333333	0.478666667	0.068666667	0.284666667	0.312666667	0.285333333	0.345333333	0.452666667	0.113333333	0.179333333	0.193333333	0.583333333	0.36	0.408666667	0.243333333	0.407333333	0.217333333	0.249333333	0.242666667	0.143333333	0.210666667	0.418	0.300666667	0.269333333	0.083333333	0.166666667	0.061333333	0.258	0.308	0.308666667	0.333333333	0.314666667	0.352	0.278	0.294	0.258	0.213333333	0.270666667	0.204	0.264666667	0.263333333	0.277333333	0.230666667	0.296	0.27	0.239333333	0.224	0.230666667	0.206666667	0.255333333	0.144666667	0.162	0.144666667	0.172666667	0.176	0.162666667	0.232	0.258	0.382	0.092666667
k__Bacteria;p__Actinobacteria;c__MB-A2-108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0.000666667	0	0	0	0.001333333	0.002
k__Bacteria;p__Actinobacteria;c__OPB41	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	0.000666667	0	0.000666667	0.000666667	0.000666667	0.000666667	0	0.003333333	0.000666667	0.004	0	0	0.000666667	0	0.000666667	0.001333333	0	0.002	0.000666667	0	0	0.000666667	0.000666667	0.000666667	0.001333333	0.002	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0.000666667	0	0	0.004	0	0	0	0	0	0.001333333	0	0.000666667	0.000666667	0.000666667	0.000666667	0	0.000666667	0.000666667	0.002666667	0	0.000666667	0	0.001333333	0.002	0	0	0	0	0	0	0	0.000666667	0	0.000666667	0.001333333	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0.000666667	0.001333333	0.000666667	0	0.000666667	0	0	0.000666667	0	0.000666667	0	0.000666667	0	0.000666667	0	0	0	0.004	0.000666667	0.002	0.001333333	0.000666667	0.000666667	0.000666667	0	0.000666667	0	0.003333333	0.002666667	0	0.000666667	0.000666667	0.000666667	0	0	0	0.004	0	0.000666667	0	0.002	0	0	0	0.000666667	0.000666667	0.000666667	0	0	0.000666667	0.000666667	0.001333333	0	0.003333333	0	0	0	0.000666667	0.001333333	0.000666667	0.001333333	0	0.000666667	0	0.000666667	0.000666667	0	0.001333333	0	0.006666667	0.000666667	0.000666667	0	0	0.000666667	0.001333333	0	0.002	0.000666667	0	0	0.000666667	0.000666667	0.000666667	0	0.000666667	0	0	0	0	0.001333333	0.000666667	0	0.004666667	0.003333333	0.002	0	0.000666667	0.002	0.002666667	0	0	0	0	0	0.000666667	0	0	0.000666667	0.003333333	0.000666667	0.000666667	0.001333333	0.000666667	0	0.001333333	0	0.004	0.001333333	0.000666667	0.007333333	0	0.002	0.000666667	0.002666667	0.001333333	0.001333333	0	0.002666667	0	0.000666667	0.000666667	0.002	0.000666667	0.011333333	0.004666667	0.005333333	0.000666667	0.001333333	0.002666667	0	0.000666667	0.003333333	0.006	0.010666667
k__Bacteria;p__Armatimonadetes;c__Armatimonadia	0.01	0	0.000666667	0.006666667	0	0	0.005333333	0.005333333	0	0.002666667	0.000666667	0.004	0.001333333	0	0	0.004666667	0.004	0.007333333	0.005333333	0.004	0.001333333	0.004666667	0	0.004666667	0	0	0	0	0	0	0	0	0	0	0.006666667	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0.000666667	0	0	0	0	0	0	0	0	0.000666667	0	0.002	0	0.000666667	0.000666667	0.002	0	0	0.000666667	0.004	0	0.002	0.005333333	0.001333333	0.002666667	0.000666667	0.000666667	0.001333333	0	0.002666667	0.014666667	0.002666667	0.005333333	0.000666667	0.002666667	0	0.002	0.002666667	0	0	0.006666667	0	0.006	0.003333333	0	0.002	0	0	0	0.001333333	0.02	0	0	0	0.004	0.000666667	0.002666667	0.003333333	0.000666667	0.003333333	0.000666667	0.007333333	0.007333333	0.006	0.001333333	0.002	0.003333333	0.003333333	0.001333333	0.000666667	0.004666667	0.000666667	0.006	0.001333333	0.011333333	0.002	0.014	0.006666667	0	0.000666667	0	0.004	0	0.004	0.004	0	0.001333333	0.006	0.001333333	0.000666667	0.001333333	0.003333333	0	0.004	0.001333333	0.004	0.002	0.001333333	0	0.006666667	0.001333333	0.001333333	0	0.002	0.001333333	0	0.004666667	0	0.006	0.004	0.002	0.000666667	0.002666667	0.002	0.005333333	0.01	0.000666667	0.000666667	0.002	0.000666667	0.022666667	0.006	0.001333333	0.003333333	0.001333333	0.004666667	0	0.002	0.002666667	0.008	0.001333333	0	0	0.008666667	0.004	0.002	0.006	0	0.001333333	0.000666667	0	0	0.003333333	0.003333333	0.002	0.003333333	0.005333333	0.003333333	0.01	0.001333333	0	0	0.002	0.004	0.012666667	0.003333333	0.006666667	0	0.002666667	0.002666667	0	0	0.007333333	0.005333333	0	0.006	0.002666667	0.000666667	0.000666667	0.003333333	0.000666667	0.000666667	0.003333333	0.002666667	0.004
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia]	0	0	0.000666667	0	0.001333333	0	0	0.000666667	0.000666667	0	0.001333333	0	0.001333333	0.005333333	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0.000666667	0.000666667	0.002666667	0	0.003333333	0.002666667	0.000666667	0	0	0	0	0.000666667	0.004666667	0.006666667	0.005333333	0	0	0	0	0	0.000666667	0.008	0.000666667	0.000666667	0	0.021333333	0	0	0.000666667	0.000666667	0	0.000666667	0.002	0	0	0.000666667	0.001333333	0.002	0	0.001333333	0	0	0.004	0	0	0	0.001333333	0.000666667	0	0	0.000666667	0	0.002	0	0	0.000666667	0	0.000666667	0	0.004	0.001333333	0	0.000666667	0	0	0	0	0.002	0	0	0	0.000666667	0.001333333	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.010666667	0.000666667	0	0	0.001333333	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667
k__Bacteria;p__Bacteroidetes;c__BME43	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0	0.000666667	0.000666667	0	0.000666667	0	0	0.002	0	0.000666667	0.000666667	0.008	0	0.000666667	0.000666667	0.000666667	0.002	0	0	0	0	0.000666667	0.001333333	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0.000666667	0	0	0	0	0	0	0	0.002666667	0	0	0.002	0	0.000666667	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0.000666667	0.000666667	0	0	0.001333333	0	0.002	0	0	0	0	0.000666667	0.001333333	0	0	0	0	0	0.002	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0.002	0.002666667	0.001333333	0	0	0.000666667	0	0	0	0.000666667	0	0.001333333	0.000666667	0.002666667	0	0.001333333	0	0	0	0	0	0	0.000666667
