SUID,edge,from,to,av_corr,interaction,name,phydist,from_genus,from_col,to_genus,to_col,from_phyla,to_phyla,from_phyla_col,to_phyla_col
798,184to187,EU117671.1.1506,FN668268.1.1474,0.531633424,co,EU117671.1.1506 (co) FN668268.1.1474,0.10074,Planktophila,magenta1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
992,40to184,FN668259.1.1474,EU117671.1.1506,0.586899323,co,FN668259.1.1474 (co) EU117671.1.1506,0.10074,Nanopelagicus,magenta1,Planktophila,magenta1,Actinobacteria,Actinobacteria,purple3,purple3
746,93to184,FN668262.1.1467,EU117671.1.1506,0.501216561,co,FN668262.1.1467 (co) EU117671.1.1506,0.10311,Nanopelagicus,magenta1,Planktophila,magenta1,Actinobacteria,Actinobacteria,purple3,purple3
770,4to74,GU305803.1.1484,EU800836.1.1483,0.401424012,co,GU305803.1.1484 (co) EU800836.1.1483,0.1036,Planktophila,magenta1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
751,93to220,FN668262.1.1467,JX406245.1.1480,-0.307448356,me,FN668262.1.1467 (me) JX406245.1.1480,0.10519,Nanopelagicus,magenta1,Planktophila,magenta1,Actinobacteria,Actinobacteria,purple3,purple3
782,74to184,EU800836.1.1483,EU117671.1.1506,0.382344553,co,EU800836.1.1483 (co) EU117671.1.1506,0.10656,Nanopelagicus,magenta1,Planktophila,magenta1,Actinobacteria,Actinobacteria,purple3,purple3
999,40to208,FN668259.1.1474,AY752098.1.1391,0.24790867,co,FN668259.1.1474 (co) AY752098.1.1391,0.17624,Nanopelagicus,purple3,Actinomycetales,grey,Actinobacteria,Actinobacteria,purple3,purple3
1323,148to168,JN868732.1.1532,FN668296.1.1471,0.214195408,co,JN868732.1.1532 (co) FN668296.1.1471,0.4916,MWH-UniP1,paleturquoise1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
987,40to113,FN668259.1.1474,EU800360.1.1446,0.399178324,co,FN668259.1.1474 (co) EU800360.1.1446,0.50587,Nanopelagicus,turquoise1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
991,40to171,FN668259.1.1474,EU803376.1.1258,0.360499567,co,FN668259.1.1474 (co) EU803376.1.1258,0.50587,Nanopelagicus,turquoise1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
704,2to93,FQ658994.1.1350,FN668262.1.1467,-0.350336397,me,FQ658994.1.1350 (me) FN668262.1.1467,0.5283,Comamonadaceae,paleturquoise1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
995,40to194,FN668259.1.1474,FM161354.1.1520,-0.339801049,me,FN668259.1.1474 (me) FM161354.1.1520,0.534,Nanopelagicus,paleturquoise1,Comamonadaceae,grey,Actinobacteria,Proteobacteria,purple3,paleturquoise1
748,93to194,FN668262.1.1467,FM161354.1.1520,-0.341176302,me,FN668262.1.1467 (me) FM161354.1.1520,0.53637,Nanopelagicus,paleturquoise1,Comamonadaceae,grey,Actinobacteria,Proteobacteria,purple3,paleturquoise1
989,40to130,FN668259.1.1474,AY509418.1.1326,0.381599458,co,FN668259.1.1474 (co) AY509418.1.1326,0.55028,Nanopelagicus,paleturquoise1,Acetobacteraceae,grey,Actinobacteria,Proteobacteria,purple3,paleturquoise1
988,40to123,FN668259.1.1474,JN868881.1.1534,0.493835141,co,FN668259.1.1474 (co) JN868881.1.1534,0.57206,Nanopelagicus,paleturquoise1,Rhodocyclaceae,grey,Actinobacteria,Proteobacteria,purple3,paleturquoise1
752,93to169,FN668262.1.1467,FN668106.1.1476,-0.19884141,me,FN668262.1.1467 (me) FN668106.1.1476,0.61579,Nanopelagicus,palegreen1,Cytophagaceae,palegreen1,Actinobacteria,Bacteroidetes,purple3,grey
1010,24to40,AB661539.1.1411,FN668259.1.1474,-0.182608627,me,AB661539.1.1411 (me) FN668259.1.1474,0.67147,Stramenopiles,palegreen1,Nanopelagicus,plum1,Cyanobacteria-chloroplast,Actinobacteria,palegreen1,purple3
997,40to228,FN668259.1.1474,GQ130152.1.1440,0.428583925,co,FN668259.1.1474 (co) GQ130152.1.1440,0.70639,Nanopelagicus,palegreen1,Synechococcus,palegreen1,Actinobacteria,Cyanobacteria,purple3,palegreen1
994,40to188,FN668259.1.1474,AUSH02000015.468.1961,-0.321841422,me,FN668259.1.1474 (me) AUSH02000015.468.1961,0.98457,Nanopelagicus,grey,Flavobacterium,grey,Actinobacteria,Bacteroidetes,purple3,grey
914,130to148,AY509418.1.1326,JN868732.1.1532,NA,co,AY509418.1.1326 (co) JN868732.1.1532,NA,Acetobacteraceae,NA,MWH-UniP1,NA,Proteobacteria,Proteobacteria,NA,NA
920,130to228,AY509418.1.1326,GQ130152.1.1440,NA,co,AY509418.1.1326 (co) GQ130152.1.1440,NA,Acetobacteraceae,NA,Synechococcus,NA,Proteobacteria,Cyanobacteria,NA,NA
980,19to171,GU305712.1.1497,EU803376.1.1258,NA,co,GU305712.1.1497 (co) EU803376.1.1258,NA,acI_C,NA,CaFonsibacter,NA,Actinobacteria,Proteobacteria,NA,NA
979,19to123,GU305712.1.1497,JN868881.1.1534,NA,co,GU305712.1.1497 (co) JN868881.1.1534,NA,acI_C,NA,Rhodocyclaceae,NA,Actinobacteria,Proteobacteria,NA,NA
1031,113to228,EU800360.1.1446,GQ130152.1.1440,NA,co,EU800360.1.1446 (co) GQ130152.1.1440,NA,CaFonsibacter,NA,Synechococcus,NA,Proteobacteria,Cyanobacteria,NA,NA
715,2to19,FQ658994.1.1350,GU305712.1.1497,NA,me,FQ658994.1.1350 (me) GU305712.1.1497,NA,Comamonadaceae,NA,acI_C,NA,Proteobacteria,Actinobacteria,NA,NA
713,2to194,FQ658994.1.1350,FM161354.1.1520,NA,co,FQ658994.1.1350 (co) FM161354.1.1520,NA,Comamonadaceae,NA,Comamonadaceae,NA,Proteobacteria,Proteobacteria,NA,NA
702,2to5,FQ658994.1.1350,EU801039.1.1483,NA,me,FQ658994.1.1350 (me) EU801039.1.1483,NA,Comamonadaceae,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
707,2to220,FQ658994.1.1350,JX406245.1.1480,NA,co,FQ658994.1.1350 (co) JX406245.1.1480,NA,Comamonadaceae,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
814,35to130,FJ612159.1.1423,AY509418.1.1326,NA,co,FJ612159.1.1423 (co) AY509418.1.1326,NA,Planktophila,NA,Acetobacteraceae,NA,Actinobacteria,Proteobacteria,NA,NA
799,184to194,EU117671.1.1506,FM161354.1.1520,NA,me,EU117671.1.1506 (me) FM161354.1.1520,NA,Planktophila,NA,Comamonadaceae,NA,Actinobacteria,Proteobacteria,NA,NA
716,5to35,EU801039.1.1483,FJ612159.1.1423,NA,co,EU801039.1.1483 (co) FJ612159.1.1423,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
719,5to175,EU801039.1.1483,JN626727.1.1334,NA,co,EU801039.1.1483 (co) JN626727.1.1334,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
720,5to184,EU801039.1.1483,EU117671.1.1506,NA,co,EU801039.1.1483 (co) EU117671.1.1506,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
724,5to201,EU801039.1.1483,GQ390228.1.1437,NA,co,EU801039.1.1483 (co) GQ390228.1.1437,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
725,5to216,EU801039.1.1483,EU800657.1.1249,NA,co,EU801039.1.1483 (co) EU800657.1.1249,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
730,5to215,EU801039.1.1483,AY752119.1.1395,NA,co,EU801039.1.1483 (co) AY752119.1.1395,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
773,4to175,GU305803.1.1484,JN626727.1.1334,NA,co,GU305803.1.1484 (co) JN626727.1.1334,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
774,4to184,GU305803.1.1484,EU117671.1.1506,NA,co,GU305803.1.1484 (co) EU117671.1.1506,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
776,4to201,GU305803.1.1484,GQ390228.1.1437,NA,co,GU305803.1.1484 (co) GQ390228.1.1437,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
777,4to215,GU305803.1.1484,AY752119.1.1395,NA,co,GU305803.1.1484 (co) AY752119.1.1395,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
779,4to198,GU305803.1.1484,HM129990.1.1435,NA,co,GU305803.1.1484 (co) HM129990.1.1435,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
794,175to184,JN626727.1.1334,EU117671.1.1506,NA,co,JN626727.1.1334 (co) EU117671.1.1506,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
795,175to201,JN626727.1.1334,GQ390228.1.1437,NA,co,JN626727.1.1334 (co) GQ390228.1.1437,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
803,184to215,EU117671.1.1506,AY752119.1.1395,NA,co,EU117671.1.1506 (co) AY752119.1.1395,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
804,184to216,EU117671.1.1506,EU800657.1.1249,NA,co,EU117671.1.1506 (co) EU800657.1.1249,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
807,184to201,EU117671.1.1506,GQ390228.1.1437,NA,co,EU117671.1.1506 (co) GQ390228.1.1437,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
