from	to	edge	from_name	to_name	Dcorr	Dpval	sE_corr	Pcorr	Ppval	type	av_corr	edge_corr_val
35	103	35to103	FR772057.1.1466	EF632770.1.1473	0.666666667	0	0.51192227	0.998168811	0	co	0.725585916	0.5
36	69	36to69	HM481364.1.1461	FJ382067.1.1235	0.5	3.46348E-09	0.237320489	0.783318652	0.0000366	co	0.506879714	0.5
41	86	41to86	JN020180.1.1372	KF097628.1.1345	0.666666667	0	0.496742001	1	0	co	0.721136223	0.5
42	82	42to82	JF118092.1.1357	FN421585.1.1365	0.666666667	0	0.168911759	1	0	co	0.611859475	0.5
42	100	42to100	JF118092.1.1357	GQ388901.1.1482	0.666666667	0	0.168911759	1	0	co	0.611859475	0.5
44	61	44to61	JF697432.1.1492	AY250093.1.1455	0.636363636	0	0.080097483	0.542587051	0.043869808	co	0.419682723	0.5
52	77	52to77	EU803252.1.1450	GU574353.1.1321	0.666666667	0	0.488005573	1	0	co	0.71822408	0.5
53	60	53to60	JQ941843.1.1364	EU803460.1.1447	0.555555556	1.71727E-11	0.072902224	0.9074444	4.37E-09	co	0.511967393	0.5
53	95	53to95	JQ941843.1.1364	EU803732.1.1421	0.588235294	4.37945E-13	0.142958361	0.937046005	6.27E-11	co	0.556079887	0.5
53	101	53to101	JQ941843.1.1364	EU803786.1.1256	0.666666667	0	0.194118357	0.936175567	7.32E-11	co	0.598986864	0.5
54	60	54to60	EU800360.1.1446	EU803460.1.1447	0.6	1.04419E-13	0.152762562	0.929485696	2.1E-10	co	0.560749419	0.5
54	101	54to101	EU800360.1.1446	EU803786.1.1256	0.625	0	0.273591171	0.957974278	6.95E-13	co	0.61885515	0.5
55	97	55to97	GACN01029607.149.2074	AY752098.1.1391	0.5	3.46348E-09	0.482252272	0.995005492	0	co	0.659085921	0.5
56	70	56to70	FM204983.1.1452	JQ923537.1.1499	0.583333333	8.00545E-13	0.307727154	0.898191856	1.24E-08	co	0.596417448	0.5
56	91	56to91	FM204983.1.1452	GU208444.1.1502	0.615384615	1.64496E-14	0.037376393	0.684438443	0.001537453	co	0.44573315	0.5
57	61	57to61	AB252076.1.1805	AY250093.1.1455	0.608695652	3.16005E-14	0.15249698	0.870501863	0.000000167	co	0.543898165	0.5
60	95	60to95	EU803460.1.1447	EU803732.1.1421	0.571428571	2.91213E-12	0.196419725	0.953822008	2E-12	co	0.573890101	0.5
65	90	65to90	FR774626.1.1366	FM161354.1.1520	0.571428571	2.91213E-12	0.319436804	0.968345633	2.02E-14	co	0.619737003	0.5
65	91	65to91	FR774626.1.1366	GU208444.1.1502	0.615384615	1.64496E-14	0.364487897	0.827872613	0.00000353	co	0.602581708	0.5
68	94	68to94	KT350432.1.1533	JX222019.1.1499	0.666666667	0	0.509288827	1	0	co	0.725318498	0.5
73	99	73to99	FJ612147.1.1493	AJ575701.1.1473	0.666666667	0	0.321291545	0.84818893	0.000000933	co	0.612049047	0.5
78	85	78to85	JX015603.1.1441	AB806518.1.1446	0.666666667	0	0.501873355	1	0	co	0.722846674	0.5
78	89	78to89	JX015603.1.1441	AB021390.1.1508	0.666666667	0	0.500501454	1	0	co	0.722389374	0.5
80	92	80to92	AB753922.1.1459	JX521012.1.1454	0.666666667	0	0.516352753	1	0	co	0.72767314	0.5
81	98	81to98	FJ612158.1.1443	FM201052.1.1344	0.666666667	0	0.516691345	1	0	co	0.727786004	0.5
85	96	85to96	AB806518.1.1446	KF010745.1.1485	0.5	3.46348E-09	0.214918782	0.692820323	0.001198884	co	0.469246368	0.5
1	8	1to8	FQ658994.1.1350	HM346776.1.1224	0.592592593	2.58859E-13	NA	0.861920665	0.000000328	co	0.727256629	0.5
1	57	1to57	FQ658994.1.1350	AB252076.1.1805	0.592592593	2.58859E-13	NA	0.912063592	2.43E-09	co	0.752328093	0.5
1	91	1to91	FQ658994.1.1350	GU208444.1.1502	0.592592593	2.58859E-13	NA	0.831265293	0.00000285	co	0.711928943	0.5
2	52	2to52	HM445936.1.1502	EU803252.1.1450	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
2	77	2to77	HM445936.1.1502	GU574353.1.1321	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
2	83	2to83	HM445936.1.1502	FN668268.1.1474	0.5	3.46348E-09	NA	0.947472912	8.45E-12	co	0.723736456	0.5
3	52	3to52	EU801039.1.1483	EU803252.1.1450	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
3	77	3to77	EU801039.1.1483	GU574353.1.1321	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
3	84	3to84	EU801039.1.1483	KF441562.1.1494	0.666666667	0	NA	1	0	co	0.833333334	0.5
4	7	4to7	GABT01019963.848.2718	FQ658557.1.1361	0.666666667	0	NA	1	0	co	0.833333334	0.5
4	17	4to17	GABT01019963.848.2718	FJ976563.1.1391	0.666666667	0	NA	1	0	co	0.833333334	0.5
4	42	4to42	GABT01019963.848.2718	JF118092.1.1357	0.666666667	0	NA	1	0	co	0.833333334	0.5
4	82	4to82	GABT01019963.848.2718	FN421585.1.1365	0.666666667	0	NA	1	0	co	0.833333334	0.5
4	100	4to100	GABT01019963.848.2718	GQ388901.1.1482	0.666666667	0	NA	1	0	co	0.833333334	0.5
6	18	6to18	JX448570.1.1261	JN869030.1.1506	0.545454545	4.98835E-11	NA	0.892862872	2.13E-08	co	0.719158709	0.5
6	26	6to26	JX448570.1.1261	JN868973.1.1510	0.545454545	4.98835E-11	NA	0.933397131	1.13E-10	co	0.739425838	0.5
6	49	6to49	JX448570.1.1261	FN668262.1.1467	0.5	3.46348E-09	NA	0.812687316	0.00000847	co	0.656343658	0.5
6	54	6to54	JX448570.1.1261	EU800360.1.1446	0.625	0	NA	0.925150123	4.11E-10	co	0.775075062	0.5
6	59	6to59	JX448570.1.1261	HM856571.1.1445	0.545454545	4.98835E-11	NA	0.80826703	0.0000106	co	0.676860788	0.5
7	13	7to13	FQ658557.1.1361	EU800571.1.1447	0.5	3.46348E-09	NA	0.934657527	9.16E-11	co	0.717328764	0.5
7	16	7to16	FQ658557.1.1361	FN421555.1.1369	0.5	3.46348E-09	NA	0.998865636	0	co	0.749432818	0.5
7	17	7to17	FQ658557.1.1361	FJ976563.1.1391	0.666666667	0	NA	1	0	co	0.833333334	0.5
7	42	7to42	FQ658557.1.1361	JF118092.1.1357	0.666666667	0	NA	1	0	co	0.833333334	0.5
7	82	7to82	FQ658557.1.1361	FN421585.1.1365	0.666666667	0	NA	1	0	co	0.833333334	0.5
7	100	7to100	FQ658557.1.1361	GQ388901.1.1482	0.666666667	0	NA	1	0	co	0.833333334	0.5
8	31	8to31	HM346776.1.1224	AJ867754.1.1521	0.56	1.09257E-11	NA	0.640703179	0.005215649	co	0.60035159	0.5
8	57	8to57	HM346776.1.1224	AB252076.1.1805	0.608695652	3.16005E-14	NA	0.754570165	0.000128956	co	0.681632909	0.5
8	61	8to61	HM346776.1.1224	AY250093.1.1455	0.608695652	3.16005E-14	NA	0.738592196	0.000248142	co	0.673643924	0.5
8	65	8to65	HM346776.1.1224	FR774626.1.1366	0.615384615	1.64496E-14	NA	0.857693923	0.000000459	co	0.736539269	0.5
8	90	8to90	HM346776.1.1224	FM161354.1.1520	0.516129032	1.03037E-09	NA	0.808188955	0.0000106	co	0.662158994	0.5
8	91	8to91	HM346776.1.1224	GU208444.1.1502	0.608695652	3.16005E-14	NA	0.672196584	0.002161779	co	0.640446118	0.5
9	12	9to12	KC683060.1.1482	HQ178716.1.1411	0.666666667	0	NA	1	0	co	0.833333334	0.5
9	46	9to46	KC683060.1.1482	AF321036.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
9	63	9to63	KC683060.1.1482	HQ178852.1.1434	0.666666667	0	NA	1	0	co	0.833333334	0.5
9	81	9to81	KC683060.1.1482	FJ612158.1.1443	0.666666667	0	NA	1	0	co	0.833333334	0.5
9	98	9to98	KC683060.1.1482	FM201052.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
10	18	10to18	EU705057.1.1276	JN869030.1.1506	0.5	3.46348E-09	NA	0.550461204	0.0377915	co	0.525230602	0.5
10	49	10to49	EU705057.1.1276	FN668262.1.1467	0.6	1.04419E-13	NA	0.730882903	0.000335568	co	0.665441452	0.5
10	52	10to52	EU705057.1.1276	EU803252.1.1450	0.571428571	2.91213E-12	NA	0.839821486	0.00000166	co	0.705625029	0.5
10	59	10to59	EU705057.1.1276	HM856571.1.1445	0.5	3.46348E-09	NA	0.663201054	0.002804128	co	0.581600527	0.5
10	77	10to77	EU705057.1.1276	GU574353.1.1321	0.571428571	2.91213E-12	NA	0.839821486	0.00000166	co	0.705625029	0.5
12	22	12to22	HQ178716.1.1411	HM016168.1.1389	0.666666667	0	NA	1	0	co	0.833333334	0.5
12	30	12to30	HQ178716.1.1411	HQ111526.1.1402	0.666666667	0	NA	1	0	co	0.833333334	0.5
12	46	12to46	HQ178716.1.1411	AF321036.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
12	81	12to81	HQ178716.1.1411	FJ612158.1.1443	0.666666667	0	NA	1	0	co	0.833333334	0.5
12	98	12to98	HQ178716.1.1411	FM201052.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
13	17	13to17	EU800571.1.1447	FJ976563.1.1391	0.5	3.46348E-09	NA	0.934657527	9.16E-11	co	0.717328764	0.5
13	26	13to26	EU800571.1.1447	JN868973.1.1510	0.571428571	2.91213E-12	NA	0.90220407	7.83E-09	co	0.736816321	0.5
13	42	13to42	EU800571.1.1447	JF118092.1.1357	0.5	3.46348E-09	NA	0.934657527	9.16E-11	co	0.717328764	0.5
13	45	13to45	EU800571.1.1447	AEMH01007120.1017.2392	0.5	3.46348E-09	NA	0.934657527	9.16E-11	co	0.717328764	0.5
13	49	13to49	EU800571.1.1447	FN668262.1.1467	0.5	3.46348E-09	NA	0.796259922	0.0000193	co	0.648129961	0.5
13	59	13to59	EU800571.1.1447	HM856571.1.1445	0.571428571	2.91213E-12	NA	0.722523974	0.000460369	co	0.646976273	0.5
13	82	13to82	EU800571.1.1447	FN421585.1.1365	0.5	3.46348E-09	NA	0.934657527	9.16E-11	co	0.717328764	0.5
13	100	13to100	EU800571.1.1447	GQ388901.1.1482	0.5	3.46348E-09	NA	0.934657527	9.16E-11	co	0.717328764	0.5
16	17	16to17	FN421555.1.1369	FJ976563.1.1391	0.5	3.46348E-09	NA	0.998865636	0	co	0.749432818	0.5
16	42	16to42	FN421555.1.1369	JF118092.1.1357	0.5	3.46348E-09	NA	0.998865636	0	co	0.749432818	0.5
16	45	16to45	FN421555.1.1369	AEMH01007120.1017.2392	0.5	3.46348E-09	NA	0.998865636	0	co	0.749432818	0.5
16	82	16to82	FN421555.1.1369	FN421585.1.1365	0.5	3.46348E-09	NA	0.998865636	0	co	0.749432818	0.5
16	100	16to100	FN421555.1.1369	GQ388901.1.1482	0.5	3.46348E-09	NA	0.998865636	0	co	0.749432818	0.5
17	45	17to45	FJ976563.1.1391	AEMH01007120.1017.2392	0.666666667	0	NA	1	0	co	0.833333334	0.5
18	39	18to39	JN869030.1.1506	EU801647.1.1478	0.545454545	4.98835E-11	NA	0.662733496	0.002835645	co	0.604094021	0.5
18	53	18to53	JN869030.1.1506	JQ941843.1.1364	0.545454545	4.98835E-11	NA	0.89110171	0.000000025	co	0.718278128	0.5
18	54	18to54	JN869030.1.1506	EU800360.1.1446	0.5	3.46348E-09	NA	0.991021907	0	co	0.745510954	0.5
18	59	18to59	JN869030.1.1506	HM856571.1.1445	0.666666667	0	NA	0.895400982	1.64E-08	co	0.781033825	0.5
18	101	18to101	JN869030.1.1506	EU803786.1.1256	0.545454545	4.98835E-11	NA	0.941768448	2.59E-11	co	0.743611497	0.5
20	34	20to34	CU927369.1.1351	FR667253.1.1384	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
20	93	20to93	CU927369.1.1351	AB990448.1.1459	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
22	30	22to30	HM016168.1.1389	HQ111526.1.1402	0.666666667	0	NA	1	0	co	0.833333334	0.5
22	46	22to46	HM016168.1.1389	AF321036.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
22	81	22to81	HM016168.1.1389	FJ612158.1.1443	0.666666667	0	NA	1	0	co	0.833333334	0.5
22	98	22to98	HM016168.1.1389	FM201052.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
24	65	24to65	JQ684482.1.1407	FR774626.1.1366	0.5	3.46348E-09	NA	0.851487756	0.000000732	co	0.675743878	0.5
26	39	26to39	JN868973.1.1510	EU801647.1.1478	0.545454545	4.98835E-11	NA	0.692820323	0.001198884	co	0.619137434	0.5
26	49	26to49	JN868973.1.1510	FN668262.1.1467	0.6	1.04419E-13	NA	0.922252707	6.27E-10	co	0.761126354	0.5
26	52	26to52	JN868973.1.1510	EU803252.1.1450	0.571428571	2.91213E-12	NA	0.53674504	0.048764688	co	0.554086806	0.5
26	53	26to53	JN868973.1.1510	JQ941843.1.1364	0.545454545	4.98835E-11	NA	0.931556016	1.51E-10	co	0.738505281	0.5
26	54	26to54	JN868973.1.1510	EU800360.1.1446	0.5	3.46348E-09	NA	0.955844771	1.22E-12	co	0.727922386	0.5
26	77	26to77	JN868973.1.1510	GU574353.1.1321	0.571428571	2.91213E-12	NA	0.53674504	0.048764688	co	0.554086806	0.5
26	83	26to83	JN868973.1.1510	FN668268.1.1474	0.571428571	2.91213E-12	NA	0.616802209	0.009517685	co	0.59411539	0.5
26	101	26to101	JN868973.1.1510	EU803786.1.1256	0.545454545	4.98835E-11	NA	0.891101042	0.000000025	co	0.718277794	0.5
27	65	27to65	HQ178879.1.1433	FR774626.1.1366	0.5	3.46348E-09	NA	0.71112273	0.000691078	co	0.605561365	0.5
27	91	27to91	HQ178879.1.1433	GU208444.1.1502	0.555555556	1.71727E-11	NA	0.696552272	0.001133489	co	0.626053914	0.5
29	38	29to38	GQ059663.1.1344	HM186088.1.1298	0.5	3.46348E-09	NA	0.996015768	0	co	0.748007884	0.5
30	46	30to46	HQ111526.1.1402	AF321036.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
30	63	30to63	HQ111526.1.1402	HQ178852.1.1434	0.666666667	0	NA	1	0	co	0.833333334	0.5
30	81	30to81	HQ111526.1.1402	FJ612158.1.1443	0.666666667	0	NA	1	0	co	0.833333334	0.5
30	98	30to98	HQ111526.1.1402	FM201052.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
31	44	31to44	AJ867754.1.1521	JF697432.1.1492	0.52173913	5.93047E-10	NA	0.803770813	0.0000131	co	0.662754972	0.5
31	65	31to65	AJ867754.1.1521	FR774626.1.1366	0.571428571	2.91213E-12	NA	0.590199459	0.017180632	co	0.580814015	0.5
32	33	32to33	GU305742.1.1480	EU800554.1.1494	0.666666667	0	NA	1	0	co	0.833333334	0.5
32	48	32to48	GU305742.1.1480	GAOK01049488.5421.6827	0.5	3.46348E-09	NA	0.986236055	0	co	0.743118028	0.5
32	67	32to67	GU305742.1.1480	EU801144.1.1494	0.666666667	0	NA	1	0	co	0.833333334	0.5
32	80	32to80	GU305742.1.1480	AB753922.1.1459	0.666666667	0	NA	1	0	co	0.833333334	0.5
32	92	32to92	GU305742.1.1480	JX521012.1.1454	0.666666667	0	NA	1	0	co	0.833333334	0.5
33	48	33to48	EU800554.1.1494	GAOK01049488.5421.6827	0.5	3.46348E-09	NA	0.986236055	0	co	0.743118028	0.5
33	58	33to58	EU800554.1.1494	JN869123.1.1501	0.5	3.46348E-09	NA	0.890909091	0.000000025	co	0.695454546	0.5
33	80	33to80	EU800554.1.1494	AB753922.1.1459	0.666666667	0	NA	1	0	co	0.833333334	0.5
33	92	33to92	EU800554.1.1494	JX521012.1.1454	0.666666667	0	NA	1	0	co	0.833333334	0.5
39	49	39to49	EU801647.1.1478	FN668262.1.1467	0.5	3.46348E-09	NA	0.689450375	0.001329731	co	0.594725188	0.5
39	54	39to54	EU801647.1.1478	EU800360.1.1446	0.533333333	1.82329E-10	NA	0.673799883	0.002062543	co	0.603566608	0.5
39	59	39to59	EU801647.1.1478	HM856571.1.1445	0.545454545	4.98835E-11	NA	0.740152746	0.000233665	co	0.642803646	0.5
39	95	39to95	EU801647.1.1478	EU803732.1.1421	0.5	3.46348E-09	NA	0.657886374	0.003246926	co	0.578943187	0.5
42	45	42to45	JF118092.1.1357	AEMH01007120.1017.2392	0.666666667	0	NA	1	0	co	0.833333334	0.5
45	82	45to82	AEMH01007120.1017.2392	FN421585.1.1365	0.666666667	0	NA	1	0	co	0.833333334	0.5
45	100	45to100	AEMH01007120.1017.2392	GQ388901.1.1482	0.666666667	0	NA	1	0	co	0.833333334	0.5
46	63	46to63	AF321036.1.1344	HQ178852.1.1434	0.666666667	0	NA	1	0	co	0.833333334	0.5
46	81	46to81	AF321036.1.1344	FJ612158.1.1443	0.666666667	0	NA	1	0	co	0.833333334	0.5
46	98	46to98	AF321036.1.1344	FM201052.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
47	103	47to103	HM638233.1.1390	EF632770.1.1473	0.571428571	2.91213E-12	NA	0.996378377	0	co	0.783903474	0.5
48	67	48to67	GAOK01049488.5421.6827	EU801144.1.1494	0.5	3.46348E-09	NA	0.986236055	0	co	0.743118028	0.5
48	80	48to80	GAOK01049488.5421.6827	AB753922.1.1459	0.5	3.46348E-09	NA	0.986236055	0	co	0.743118028	0.5
48	92	48to92	GAOK01049488.5421.6827	JX521012.1.1454	0.5	3.46348E-09	NA	0.986236055	0	co	0.743118028	0.5
49	52	49to52	FN668262.1.1467	EU803252.1.1450	0.5	3.46348E-09	NA	0.694169362	0.001198884	co	0.597084681	0.5
49	53	49to53	FN668262.1.1467	JQ941843.1.1364	0.5	3.46348E-09	NA	0.884590598	4.65E-08	co	0.692295299	0.5
49	59	49to59	FN668262.1.1467	HM856571.1.1445	0.6	1.04419E-13	NA	0.946328368	1.07E-11	co	0.773164184	0.5
49	76	49to76	FN668262.1.1467	EU803376.1.1258	0.5	3.46348E-09	NA	0.783609812	0.0000362	co	0.641804906	0.5
49	77	49to77	FN668262.1.1467	GU574353.1.1321	0.5	3.46348E-09	NA	0.694169362	0.001198884	co	0.597084681	0.5
49	83	49to83	FN668262.1.1467	FN668268.1.1474	0.5	3.46348E-09	NA	0.781395604	0.0000401	co	0.640697802	0.5
49	88	49to88	FN668262.1.1467	GU305856.1.1443	0.5	3.46348E-09	NA	0.820514221	0.00000549	co	0.660257111	0.5
49	101	49to101	FN668262.1.1467	EU803786.1.1256	0.5	3.46348E-09	NA	0.92997687	1.95E-10	co	0.714988435	0.5
52	59	52to59	EU803252.1.1450	HM856571.1.1445	0.571428571	2.91213E-12	NA	0.799305254	0.0000165	co	0.685366913	0.5
52	78	52to78	EU803252.1.1450	JX015603.1.1441	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
52	84	52to84	EU803252.1.1450	KF441562.1.1494	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
52	85	52to85	EU803252.1.1450	AB806518.1.1446	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
52	89	52to89	EU803252.1.1450	AB021390.1.1508	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
53	54	53to54	JQ941843.1.1364	EU800360.1.1446	0.625	0	NA	0.931263918	1.58E-10	co	0.778131959	0.5
53	59	53to59	JQ941843.1.1364	HM856571.1.1445	0.545454545	4.98835E-11	NA	0.918189088	1.08E-09	co	0.731821817	0.5
53	76	53to76	JQ941843.1.1364	EU803376.1.1258	0.555555556	1.71727E-11	NA	0.820529818	0.00000549	co	0.688042687	0.5
54	59	54to59	EU800360.1.1446	HM856571.1.1445	0.5	3.46348E-09	NA	0.892679788	2.15E-08	co	0.696339894	0.5
54	76	54to76	EU800360.1.1446	EU803376.1.1258	0.526315789	3.73162E-10	NA	0.913690923	1.97E-09	co	0.720003356	0.5
54	95	54to95	EU800360.1.1446	EU803732.1.1421	0.555555556	1.71727E-11	NA	0.872919673	0.000000136	co	0.714237615	0.5
57	65	57to65	AB252076.1.1805	FR774626.1.1366	0.615384615	1.64496E-14	NA	0.7922898	0.0000235	co	0.703837208	0.5
57	90	57to90	AB252076.1.1805	FM161354.1.1520	0.516129032	1.03037E-09	NA	0.866787043	0.000000228	co	0.691458038	0.5
57	91	57to91	AB252076.1.1805	GU208444.1.1502	0.608695652	3.16005E-14	NA	0.716170881	0.000579086	co	0.662433267	0.5
58	67	58to67	JN869123.1.1501	EU801144.1.1494	0.5	3.46348E-09	NA	0.890909091	0.000000025	co	0.695454546	0.5
58	80	58to80	JN869123.1.1501	AB753922.1.1459	0.5	3.46348E-09	NA	0.890909091	0.000000025	co	0.695454546	0.5
58	92	58to92	JN869123.1.1501	JX521012.1.1454	0.5	3.46348E-09	NA	0.890909091	0.000000025	co	0.695454546	0.5
59	77	59to77	HM856571.1.1445	GU574353.1.1321	0.571428571	2.91213E-12	NA	0.799305254	0.0000165	co	0.685366913	0.5
59	83	59to83	HM856571.1.1445	FN668268.1.1474	0.571428571	2.91213E-12	NA	0.709036135	0.000742307	co	0.640232353	0.5
