phylum	run4.1	run4.10	run4.100	run4.101	run4.102	run4.103	run4.104	run4.105	run4.106	run4.107	run4.108	run4.109	run4.11	run4.110	run4.111	run4.112	run4.113	run4.114	run4.115	run4.116	run4.117	run4.118	run4.119	run4.12	run4.120	run4.121	run4.122	run4.123	run4.124	run4.125	run4.126	run4.127	run4.128	run4.129	run4.13	run4.130	run4.131	run4.132	run4.133	run4.134	run4.135	run4.136	run4.138	run4.139	run4.14	run4.140	run4.141	run4.142	run4.143	run4.144	run4.145	run4.146	run4.147	run4.148	run4.149	run4.15	run4.150	run4.151	run4.152	run4.153	run4.154	run4.155	run4.156	run4.157	run4.158	run4.159	run4.16	run4.160	run4.161	run4.162	run4.163	run4.164	run4.165	run4.166	run4.167	run4.168	run4.169	run4.17	run4.170	run4.171	run4.172	run4.173	run4.174	run4.176	run4.177	run4.178	run4.179	run4.18	run4.180	run4.181	run4.182	run4.183	run4.184	run4.185	run4.186	run4.187	run4.188	run4.189	run4.190	run4.191	run4.192	run4.193	run4.194	run4.195	run4.196	run4.197	run4.199	run4.2	run4.20	run4.200	run4.202	run4.203	run4.204	run4.205	run4.21	run4.22	run4.23	run4.24	run4.25	run4.26	run4.27	run4.28	run4.29	run4.3	run4.30	run4.31	run4.32	run4.33	run4.34	run4.35	run4.36	run4.37	run4.38	run4.39	run4.4	run4.40	run4.41	run4.42	run4.43	run4.44	run4.45	run4.46	run4.47	run4.48	run4.49	run4.5	run4.50	run4.51	run4.52	run4.53	run4.54	run4.55	run4.56	run4.57	run4.58	run4.59	run4.6	run4.60	run4.62	run4.63	run4.64	run4.65	run4.66	run4.67	run4.68	run4.69	run4.7	run4.70	run4.71	run4.72	run4.73	run4.74	run4.75	run4.76	run4.77	run4.78	run4.79	run4.8	run4.80	run4.81	run4.82	run4.83	run4.84	run4.85	run4.86	run4.87	run4.88	run4.89	run4.9	run4.90	run4.91	run4.92	run4.93	run4.94	run4.95	run4.96	run4.97	run4.98	run4.99	S10a	S11a	S13a	S14a	S15a	S16a	S17a	S18a	S19a	S1a	S20a	S21a	S22a	S23a	S24a	S25a	S26a	S27a	S2a	S3a	S45a	S46a	S47a	S48a	S49a	S4a	S50a	S51a	S5a	S6a	S7a	S8a	S9a
k__Bacteria;p__Chlorobi	0.001333333	0.004	0.000666667	0.001333333	0.002	0	0.002	0.006	0.004	0.000666667	0	0.024	0.016	0.002	0.002666667	0.001333333	0.001333333	0	0.001333333	0.019333333	0	0.020666667	0.001333333	0.002666667	0	0	0	0	0	0.002	0	0	0	0.000666667	0.002	0	0	0.000666667	0.001333333	0.000666667	0	0	0	0	0.004666667	0.000666667	0.000666667	0	0	0.000666667	0	0	0	0.000666667	0	0.009333333	0	0	0.000666667	0	0.000666667	0	0	0	0	0	0.04	0.000666667	0.002666667	0.000666667	0.000666667	0	0.000666667	0.000666667	0	0	0.004666667	0.01	0	0.002666667	0.000666667	0	0	0.003333333	0.001333333	0.000666667	0.000666667	0.000666667	0	0.002	0.000666667	0.01	0.000666667	0.005333333	0	0	0	0.000666667	0	0	0	0.002666667	0.000666667	0	0	0.000666667	0.002	0.002666667	0	0.000666667	0	0	0.000666667	0.000666667	0.006	0.000666667	0	0.000666667	0.012666667	0	0.004	0.004	0	0.004	0.002666667	0.034	0.000666667	0.012	0.008	0.014666667	0.005333333	0.014666667	0.038666667	0.002666667	0.008666667	0.008666667	0.019333333	0	0.008	0.000666667	0.002666667	0.056666667	0.005333333	0.004666667	0.004	0.000666667	0.001333333	0	0.012	0.001333333	0.012666667	0.01	0.02	0.007333333	0.000666667	0	0.006666667	0.01	0.000666667	0.003333333	0.002	0.033333333	0.003333333	0.090666667	0.003333333	0.002666667	0.004	0	0.006666667	0	0.006666667	0.001333333	0	0.001333333	0	0	0	0.002666667	0	0.000666667	0.002	0.000666667	0	0	0.000666667	0.005333333	0.002666667	0	0	0.000666667	0	0	0.002666667	0	0.032	0	0	0.000666667	0	0.022	0.004666667	0.006	0.001333333	0.003333333	0.001333333	0.001333333	0	0.003333333	0.002	0.016	0.017333333	0.017333333	0.014666667	0.018666667	0.016666667	0.020666667	0.016	0	0.001333333	0.014666667	0.018	0.006	0.010666667	0.002	0.001333333	0.006666667	0.004666667	0.001333333	0.000666667	0.006	0.000666667	0.034
k__Bacteria;p__Chloroflexi	0.009333333	0.010666667	0.01	0.020666667	0.007333333	0.005333333	0.006	0.016	0.014	0.010666667	0.014666667	0.018666667	0.019333333	0.012	0.006	0.003333333	0.018666667	0.024666667	0.015333333	0.012	0.002	0.021333333	0.015333333	0.008666667	0.005333333	0.004666667	0.007333333	0.000666667	0.010666667	0.002	0	0.001333333	0.002	0.002	0.024	0	0.000666667	0.002	0.000666667	0.000666667	0.002	0.001333333	0.000666667	0.000666667	0.031333333	0.001333333	0	0.001333333	0.001333333	0.002	0.005333333	0.002666667	0.002	0.002666667	0.002	0.016666667	0.002	0.001333333	0.005333333	0.004666667	0.008666667	0.002	0.005333333	0.006666667	0.006	0.002666667	0.018	0.002	0.005333333	0.002666667	0.000666667	0.016666667	0.005333333	0.004	0.006666667	0.006	0.006666667	0.024666667	0.006	0.002	0.007333333	0.006	0.008	0.006	0.01	0.007333333	0.001333333	0.028	0.007333333	0.006666667	0.004666667	0.003333333	0.011333333	0.006666667	0.002666667	0.002666667	0.002	0.004	0.014	0.007333333	0.012	0.027333333	0.012666667	0.016666667	0.022	0.006	0.016666667	0.026666667	0.002	0.021333333	0.025333333	0.017333333	0.012	0.032	0.009333333	0.013333333	0.017333333	0.003333333	0.024	0.005333333	0.010666667	0.014666667	0.002	0.021333333	0.01	0.009333333	0.005333333	0.015333333	0.013333333	0.039333333	0.016	0.022	0.036666667	0.016666667	0.025333333	0.020666667	0.012	0.004	0.023333333	0.006	0.026666667	0.025333333	0.004666667	0.004	0.013333333	0.004	0.013333333	0.01	0.026666667	0.008666667	0.01	0.002666667	0.008666667	0.015333333	0.007333333	0.012	0.027333333	0.008666667	0.015333333	0.012	0.010666667	0.009333333	0.002666667	0.006	0.003333333	0.006	0.010666667	0	0.008666667	0.004	0.008	0.009333333	0.013333333	0.014	0.003333333	0.010666667	0.006666667	0.026666667	0.002666667	0.007333333	0.025333333	0.015333333	0.011333333	0.007333333	0.01	0.011333333	0.018	0.006	0.003333333	0.002	0.022	0.014666667	0.019333333	0.002666667	0.010666667	0.003333333	0.014666667	0.002666667	0.006	0.006666667	0.012666667	0.014666667	0.019333333	0.025333333	0.02	0.014	0.018	0.024666667	0.009333333	0.022666667	0.013333333	0.014666667	0.010666667	0.008	0.012	0.000666667	0.007333333	0.003333333	0.007333333	0.01	0.003333333	0.022	0.012	0.007333333	0.009333333	0.006666667	0.017333333	0.002	0.006666667	0.002666667	0.006	0.011333333
k__Bacteria;p__Cyanobacteria	0.103333333	0.292	0.398	0.131333333	0.439333333	0.414666667	0.562666667	0.052	0.219333333	0.14	0.365333333	0.108666667	0.283333333	0.181333333	0.535333333	0.465333333	0.172666667	0.088666667	0.072	0.202666667	0.07	0.134	0.150666667	0.186	0.423333333	0.509333333	0.576666667	0.123333333	0.026	0.633333333	0.595333333	0.731333333	0.676666667	0.658666667	0.074666667	0.252666667	0.180666667	0.656666667	0.862	0.746	0.722	0.840666667	0.811333333	0.887333333	0.112	0.655333333	0.444	0.335333333	0.852666667	0.211333333	0.088	0.564	0.373333333	0.248666667	0.468666667	0.141333333	0.486666667	0.210666667	0.192666667	0.122666667	0.154	0.264666667	0.154	0.096666667	0.17	0.024666667	0.150666667	0.126	0.037333333	0.020666667	0.020666667	0.096666667	0.048666667	0.010666667	0.012	0.107333333	0.029333333	0.149333333	0.034	0.05	0.042666667	0.024666667	0.022666667	0.024	0.136	0.018666667	0.053333333	0.066666667	0.044	0.055333333	0.083333333	0.029333333	0.106	0.024	0.038	0.010666667	0.026	0.044666667	0.034666667	0.035333333	0.055333333	0.015333333	0.012	0.033333333	0.038666667	0.187333333	0.096	0.088666667	0.442666667	0.037333333	0.034	0.057333333	0.05	0.077333333	0.104666667	0.398	0.050666667	0.547333333	0.126	0.129333333	0.029333333	0.124	0.643333333	0.089333333	0.092	0.31	0.093333333	0.138	0.134666667	0.100666667	0.133333333	0.069333333	0.08	0.114666667	0.216666667	0.286666667	0.200666667	0.113333333	0.282666667	0.052666667	0.058666667	0.133333333	0.080666667	0.086	0.094666667	0.392666667	0.204666667	0.032666667	0.196666667	0.188	0.103333333	0.456	0.128666667	0.118666667	0.174	0.028	0.1	0.168666667	0.196666667	0.228666667	0.242666667	0.122666667	0.015333333	0.372666667	0.45	0.394	0.136666667	0.060666667	0.139333333	0.089333333	0.402	0.205333333	0.094	0.292	0.367333333	0.160666667	0.340666667	0.196666667	0.097333333	0.332	0.176	0.159333333	0.231333333	0.175333333	0.074	0.066666667	0.082	0.144666667	0.267333333	0.044	0.113333333	0.383333333	0.124	0.098	0.099333333	0.052666667	0.442666667	0.056	0.243333333	0.072666667	0.043333333	0.024	0.161333333	0.032666667	0.062	0.066666667	0.068	0.066	0.129333333	0.091333333	0.18	0.165333333	0.152666667	0.118666667	0.144	0.063333333	0.022	0.070666667	0.101333333	0.070666667	0.044	0.01	0.034666667	0.011333333	0.124666667	0.015333333	0.017333333	0.15	0.037333333	0.093333333	0.059333333	0.126666667
k__Bacteria;p__Elusimicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__FBP	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__FCPU426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0
k__Bacteria;p__Fibrobacteres	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0.000666667	0.000666667	0	0.002	0	0	0	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0
k__Bacteria;p__Firmicutes	0.001333333	0.000666667	0	0	0	0	0	0.000666667	0	0.001333333	0	0	0.000666667	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0.006	0.000666667	0.000666667	0.000666667	0.000666667	0.001333333	0	0.001333333	0.002	0.000666667	0	0	0	0	0.000666667	0	0.002	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0.000666667	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0.000666667	0	0.001333333	0	0	0	0.001333333	0.001333333	0.002	0.001333333	0	0	0.001333333	0.000666667	0.000666667	0.000666667	0.000666667	0	0.001333333	0	0	0.000666667	0	0.001333333	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0.001333333	0.000666667	0	0.000666667	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0.001333333	0	0	0	0	0.000666667	0.001333333	0.000666667	0	0	0.000666667	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0.004666667	0.000666667	0.000666667	0	0.002	0	0	0.002	0	0	0.000666667	0.001333333	0	0.004666667	0.002666667	0.012	0.000666667	0	0	0	0	0.000666667	0	0.001333333	0	0	0.001333333	0.002666667	0.002	0	0.001333333	0.002666667	0.000666667	0.001333333	0.001333333	0	0	0.000666667	0	0.001333333	0	0.000666667	0	0	0	0.000666667	0	0.000666667	0.000666667	0.006
k__Bacteria;p__Fusobacteria	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0.000666667	0
k__Bacteria;p__GN02	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0.003333333	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0
k__Bacteria;p__GN04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Gemmatimonadetes	0.002666667	0.001333333	0.002	0.000666667	0.002666667	0.007333333	0	0.004	0.002	0.006666667	0.000666667	0.002666667	0.003333333	0.000666667	0.002	0.005333333	0	0.002666667	0	0.003333333	0.001333333	0.002666667	0.009333333	0.006	0.005333333	0.004	0.003333333	0.001333333	0.009333333	0.003333333	0	0.002	0.003333333	0.006	0.002	0	0.006666667	0.001333333	0	0.003333333	0.002	0	0.000666667	0	0.006666667	0.000666667	0.003333333	0.002666667	0.002	0.006	0.004	0.002666667	0.003333333	0.005333333	0	0.001333333	0.002	0.001333333	0.002666667	0.001333333	0.003333333	0.000666667	0.000666667	0.000666667	0	0.002	0	0	0	0.002666667	0.004	0.006666667	0.005333333	0.003333333	0.001333333	0.001333333	0.005333333	0.003333333	0.013333333	0.009333333	0.003333333	0.006	0.000666667	0.002	0	0	0.004666667	0.007333333	0.004666667	0.01	0	0.001333333	0.002	0.002666667	0.001333333	0	0.002	0.002666667	0	0.000666667	0.000666667	0	0.001333333	0	0	0.000666667	0	0.004	0.008	0	0	0	0	0	0.006666667	0.006	0.000666667	0.000666667	0.003333333	0.006666667	0	0.001333333	0.002666667	0.003333333	0.000666667	0.000666667	0.004666667	0.01	0.000666667	0.002666667	0.001333333	0.001333333	0.004	0.003333333	0	0.004	0.000666667	0.006	0.004666667	0.003333333	0.010666667	0.001333333	0.005333333	0.024	0.000666667	0.001333333	0.000666667	0.002666667	0.002	0.000666667	0.000666667	0.001333333	0	0.004666667	0	0.004666667	0.006	0.004666667	0.000666667	0.000666667	0.008	0.000666667	0.004	0	0.004666667	0.001333333	0.000666667	0	0.006	0.002	0.000666667	0	0.002	0.000666667	0.010666667	0	0	0.004	0.003333333	0	0.006666667	0.011333333	0.001333333	0.000666667	0.008666667	0.006666667	0.009333333	0.001333333	0.004666667	0.002	0.001333333	0	0.004	0.002666667	0.001333333	0.004666667	0.003333333	0.004	0.006666667	0.001333333	0.001333333	0.000666667	0	0.002	0.002	0	0	0.002	0.001333333	0.006	0.002666667	0.001333333	0	0.001333333	0.000666667	0.000666667	0.000666667	0	0	0.000666667	0.003333333	0.008	0.004666667	0.002	0.001333333	0.001333333	0.006	0.000666667	0	0	0	0.008666667
k__Bacteria;p__Lentisphaerae	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__NC10	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Nitrospirae	0	0.000666667	0	0	0.001333333	0.001333333	0	0.008666667	0	0.002666667	0	0	0	0	0.002	0.001333333	0	0	0	0.000666667	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0.000666667	0	0	0.004	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002666667	0	0	0	0.000666667	0	0.000666667	0.000666667	0	0	0	0	0.004666667	0	0	0	0	0.000666667	0	0	0	0.004	0	0	0	0.003333333	0	0.000666667	0	0	0.000666667	0	0.002	0	0	0	0	0	0.004666667	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0.001333333	0.000666667	0.000666667	0	0.000666667	0.002	0.002666667	0	0	0.004666667	0	0	0	0.000666667	0.000666667	0	0	0.004666667	0.001333333	0.001333333	0	0	0	0	0	0	0	0	0	0.000666667	0.002666667	0	0.000666667	0.002	0.000666667	0.002666667	0.000666667	0	0	0	0.000666667	0.002	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0.001333333	0	0.000666667	0	0	0	0.004	0.002	0.001333333	0.002	0.000666667	0.004666667	0.002	0.001333333	0.000666667	0.001333333	0.002	0.002	0.000666667	0.008	0	0.002	0	0.003333333	0.003333333	0.000666667	0.001333333	0.002	0.001333333
k__Bacteria;p__OC31	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__OD1	0	0	0	0	0	0.000666667	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0.000666667	0.000666667	0.000666667	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0.001333333	0	0	0.000666667	0	0	0.001333333	0	0.000666667	0	0	0	0.000666667	0	0.000666667	0	0	0	0	0	0.002666667	0	0	0	0.001333333	0	0	0	0	0	0.000666667	0	0.000666667	0	0	0.000666667	0.000666667	0.000666667	0	0.001333333	0.000666667	0	0	0	0	0.001333333
k__Bacteria;p__OP11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
