SUID,edge,from,to,av_corr,interaction,name,phydist,from_genus,from_col,to_genus,to_col,from_phyla,to_phyla,from_phyla_col,to_phyla_col
1817,49to76,FN668262.1.1467,EU803376.1.1258,0.641804906,co,FN668262.1.1467 (co) EU803376.1.1258,0.5076,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1815,49to53,FN668262.1.1467,JQ941843.1.1364,0.692295299,co,FN668262.1.1467 (co) JQ941843.1.1364,0.00498,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1715,13to76,EU800571.1.1447,EU803376.1.1258,0.56088992,co,EU800571.1.1447 (co) EU803376.1.1258,0,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1725,6to76,JX448570.1.1261,EU803376.1.1258,0.592242139,co,JX448570.1.1261 (co) EU803376.1.1258,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1741,60to101,EU803460.1.1447,EU803786.1.1256,0.689549217,co,EU803460.1.1447 (co) EU803786.1.1256,0.00443,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1727,6to101,JX448570.1.1261,EU803786.1.1256,0.518939173,co,JX448570.1.1261 (co) EU803786.1.1256,0,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1880,54to76,EU800360.1.1446,EU803376.1.1258,0.720003356,co,EU800360.1.1446 (co) EU803376.1.1258,0.50588,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1724,6to60,JX448570.1.1261,EU803460.1.1447,0.602091432,co,JX448570.1.1261 (co) EU803460.1.1447,0.00326,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1733,6to88,JX448570.1.1261,GU305856.1.1443,0.7134631,co,JX448570.1.1261 (co) GU305856.1.1443,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1743,76to101,EU803376.1.1258,EU803786.1.1256,0.671667098,co,EU803376.1.1258 (co) EU803786.1.1256,0.00443,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1723,6to53,JX448570.1.1261,JQ941843.1.1364,0.552924224,co,JX448570.1.1261 (co) JQ941843.1.1364,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1731,6to54,JX448570.1.1261,EU800360.1.1446,0.775075062,co,JX448570.1.1261 (co) EU800360.1.1446,0.00551,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1734,53to60,JQ941843.1.1364,EU803460.1.1447,0.511967393,co,JQ941843.1.1364 (co) EU803460.1.1447,0.00723,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1881,54to95,EU800360.1.1446,EU803732.1.1421,0.714237615,co,EU800360.1.1446 (co) EU803732.1.1421,0.88656,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1735,53to95,JQ941843.1.1364,EU803732.1.1421,0.556079887,co,JQ941843.1.1364 (co) EU803732.1.1421,0.6851,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1736,53to101,JQ941843.1.1364,EU803786.1.1256,0.598986864,co,JQ941843.1.1364 (co) EU803786.1.1256,0.72162,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1742,76to95,EU803376.1.1258,EU803732.1.1421,0.682059484,co,EU803376.1.1258 (co) EU803732.1.1421,0,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1726,6to95,JX448570.1.1261,EU803732.1.1421,0.553712064,co,JX448570.1.1261 (co) EU803732.1.1421,0.01052,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1877,54to60,EU800360.1.1446,EU803460.1.1447,0.560749419,co,EU800360.1.1446 (co) EU803460.1.1447,0.00443,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1739,53to76,JQ941843.1.1364,EU803376.1.1258,0.688042687,co,JQ941843.1.1364 (co) EU803376.1.1258,0.72123,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1744,95to101,EU803732.1.1421,EU803786.1.1256,0.701014067,co,EU803732.1.1421 (co) EU803786.1.1256,0.50588,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1740,60to95,EU803460.1.1447,EU803732.1.1421,0.573890101,co,EU803460.1.1447 (co) EU803732.1.1421,0.72194,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1878,54to101,EU800360.1.1446,EU803786.1.1256,0.61885515,co,EU800360.1.1446 (co) EU803786.1.1256,0.00326,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1737,53to54,JQ941843.1.1364,EU800360.1.1446,0.778131959,co,JQ941843.1.1364 (co) EU800360.1.1446,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
