sample	Accession	collection_date	depth_m	Stratification	season	Layer	seq_shape	year	av_depth	secchi_m	pH	Alk_mekw_per_L	Cond_mS_per_m	Col_mgPt_per_L	turbidity_FNU_EV26	TotP_ug_per_L	NH4_ug_per_L	NO2andNO3_ug_per_L	PN_ug_per_L	TotN_ug_per_L	Si_ug_per_L	Temp_C	Chla_ug_per_L	PP_ug_per_L	SPOM_mg_per_L	O2pcnt	SPM_mg_per_L	MRP_per_PO4P_ug_per_L	NO2_ug_per_L	NO3_ug_per_L	Abs_per_ofiltrerat_per__420_per_nm_per_5cm	Abs_per_filtrerad_per__420_per_nm_per_5cm	O2_mg_L	LD12	acI	C111	Comamonadaceae	limnohab	flavo	luteo	Alcaligenaceae	polynuc	Chitinophagaceae	Ralstonia	Sphingomonas	synechococcus	nostocaceae	microcystis	haptophyceae	cryptophyta	streptphyt	stramenopiles	phytos
run4.12	ERS1884086	23/6/14	0-14	summer strat.	epi	epi	4	2014	7	4	7.97	1.886769231	26.6	20	1.24	17.15	10.332	5.87	34.80344828	624.63	950.93	14.52	3.0843	6.988965517	0.5	92.11333333	0.9	5.87	NA	NA	0.06	0.05	9.380666667	0.2	10.6	4.5333333	5.2666667	0.7333333	0.4666667	0.0666667	0.3333333	0.2	0.2	0	0	0	0	0	0	0.6	0	74	74.6
run4.106	ERS1884061	23/8/11	0-10	summer strat.	epi	epi	4	2011	5	3	7.98	1.83	27.2	17.5	2.2	29	7.3	1.7	72	632	944	18.90909091	7.04	9	1.1	85.4	3	7.9	0.3	1.4	NA	NA	8.041818182	0.1333333	10.7333333	7.2666667	4.3333333	0.4666667	0.8	0	0.5333333	0.4	0.2666667	0	0	0	0	0	0	1.1333333	0	70.8666667	72.2
S15a	SRA	24/6/08	0-14	summer strat.	epi	epi	1	2008	7	5.39	8.06	1.8688	26.8	12.5	0.64	21	7	1	34.3448	550	728	17	2.49436	7.03448	1	90	1	0.1	0.1	0.9	0.043	0.033	NA	0	6.4	4.5333333	2.4666667	0.2666667	0.1333333	0.1333333	0.1333333	0	0.0666667	0	0.0666667	0	0	0	0	0.6666667	0	83.4	84.0666667
run4.69	ERS1884220	24/7/12	0-14	summer strat.	epi	epi	4	2012	7	2	8.09	1.827576471	26.8	17.5	2.6	32.12	66	10.24	221.5862069	795.363	1172	18.3	11.017615	20.75103448	2.7	95.98	4.7	3.85	1.1	9.14	NA	NA	9.016	0	8.7333333	2.6	2.9333333	0.2666667	0.7333333	0.6666667	0.4	0	0.1333333	0	0	0	0	0	0	1.1333333	0	80	81.1333333
run4.193	ERS1884155	24/7/13	0-10	summer strat.	epi	epi	4	2013	5	3.2	8.05	1.96224	26.6	30	1.76	27.61	13.574	9.532	103.5271724	820.569	800.276	17.26363636	9.3742675	11.11103448	1.9	91.12727273	3.1	7.16	NA	NA	0.084	0.063	8.818181818	0.0666667	4.8666667	1.6666667	1.4666667	0.3333333	0.6666667	0.6	0.0666667	0.2	0.0666667	0	0	0	0	0	0	0.9333333	0	87.7333333	88.7333333
run4.17	ERS1884140	24/9/14	0-18	summer strat.	epi	epi	4	2014	9	3	8.1	1.769232787	27.4	15	1.55	42.75	26.7953	29.89	60.98137931	776.33	1369.06	15.00526316	2.99295	8.486896552	-1.42E-14	85.12631579	2.4	28.87	NA	NA	0.074	0.042	8.598947368	1.0666667	6.8666667	9.0666667	6.2	0.9333333	0.1333333	0	0.6666667	0.3333333	2.1333333	0	0.2666667	0.9333333	0	0.1333333	0.4666667	4.8	0	2.2666667	11.2
run4.184	ERS1884145	26/6/13	0-6	summer strat.	epi	epi	4	2013	3	4.8	8.14	1.8396	26.6	22.5	0.79	15.25	9.126	0.134	38.78744828	643.978	330.18	18.44285714	2.024216	5.165517241	0.7	95.94285714	1.4	2.18	NA	NA	0.081	0.064	9.038571429	0	8	2.4666667	3	0.6	1.5333333	15.5333333	0.5333333	0.2666667	0.4666667	0	0	0	0	0	0	0.9333333	0	64.6	65.5333333
run4.36	ERS1884184	26/8/14	0-12	summer strat.	epi	epi	4	2014	6	2.5	8.12	1.681354839	26.5	17.5	1.3	24.37	9.9104	21.58	53.49	683.39	996.43	17.76923077	3.40425	7.943448276	1.2	85.2	2.6	6.31	NA	NA	0.074	0.052	8.036923077	0.2	8.4666667	6.0666667	4	0.4666667	3.2	27.2666667	0.6666667	0.1333333	0.7333333	0	0	0	0	0	0	0.3333333	0	44	44.4
run4.169	ERS1884128	27/5/13	4.6	summer strat.	epi	epi	4	2013	4.6	4.6	8.32	1.891315663	26.4	35	1.41	18.78	7.331	0.115	52.91048276	641.481	75.012	12.2	2.574308	6.140344828	0.875	103.4	1.75	2.82	NA	NA	0.106	0.079	11.25	0.2666667	15.3333333	7	3.9333333	1	4	29.3333333	0.4666667	0.5333333	0.7333333	0	0.0666667	0	0	0	0	0.3333333	0	33.2	33.5333333
run4.170	ERS1884130	27/5/13	0	summer strat.	epi	epi	4	2013	0	4.6	8.32	1.891315663	26.4	35	1.41	18.78	7.331	0.115	52.91048276	641.481	75.012	13.2	2.574308	6.140344828	0.875	104.1	1.75	2.82	NA	NA	0.106	0.079	11.09	0	4.4	1.6	2.8666667	0.1333333	1.8	0.6666667	0.2	0.2666667	0.2	0	0	0	0	0	0.0666667	1.7333333	0	83.4666667	85.2666667
run4.172	ERS1884132	27/5/13	0-8	summer strat.	epi	epi	4	2013	4	4.6	8.32	1.891315663	26.4	35	1.41	18.78	7.331	0.115	52.91048276	641.481	75.012	12.23333333	2.574308	6.140344828	0.875	103.1111111	1.75	2.82	NA	NA	0.106	0.079	11.20666667	0	20.7333333	12.5333333	9.1333333	1.6	4.6666667	15.8	1.0666667	1.3333333	1.9333333	0	0.0666667	0	0	0	0	0.6	0	20.4666667	21.1333333
run4.119	ERS1884074	27/6/12	0-14	summer strat.	epi	epi	4	2012	7	NA	7.81	1.746690909	27.3	15	1	22.1	12.681	5.471	38.08875862	592.517	707.752	15.50666667	2.287317	7.248275862	1.1	92.66	1.9	6.79	0.541	4.93	NA	NA	9.180666667	0.0666667	39.4666667	23.5333333	5.6666667	1.4	2.6666667	7.4666667	2	1.2	0.6	0	0.2	0	0	0	0	0.2	0	8.5333333	8.8
run4.102	ERS1884057	28/8/12	0-14	summer strat.	epi	epi	4	2012	7	2.5	8.02	1.821018182	27.1	17.5	1.8	40.04	20.251	19.51	70.96551724	661	761.08	18.16666667	8.00448	11.43172414	1.6	84.38	3.4	19.5	2.178	17.332	NA	NA	8.020666667	0	13	3.4666667	3.3333333	0.4	1.6666667	18.0666667	0.2666667	0.5333333	0.3333333	0	0	0	0	0.0666667	0	0.6666667	0	55.6	56.4
run4.94	ERS1884248	29/5/12	0-10	summer strat.	epi	epi	4	2012	5	4	8.05	2.097050382	27.8	15	0.76	13.9	6.4	2.2	44.4137931	588	207.796	13.35454545	1.456475	6.144827586	0.7	96.70909091	1.3	3.44	0.391	NA	NA	NA	10.07090909	0.0666667	23.6666667	12.5333333	5.4	0.8666667	1.8	10.0666667	1.2	0.8	0.5333333	0	0	0	0	0	0	0.5333333	0	36.8	37.3333333
