sample	Accession	collection_date	depth_m	Stratification	season	Layer	seq_shape	year	av_depth	secchi_m	pH	Alk_mekw_per_L	Cond_mS_per_m	Col_mgPt_per_L	turbidity_FNU_EV26	TotP_ug_per_L	NH4_ug_per_L	NO2andNO3_ug_per_L	PN_ug_per_L	TotN_ug_per_L	Si_ug_per_L	Temp_C	Chla_ug_per_L	PP_ug_per_L	SPOM_mg_per_L	O2pcnt	SPM_mg_per_L	MRP_per_PO4P_ug_per_L	NO2_ug_per_L	NO3_ug_per_L	Abs_per_ofiltrerat_per__420_per_nm_per_5cm	Abs_per_filtrerad_per__420_per_nm_per_5cm	O2_mg_L	LD12	acI	C111	Comamonadaceae	limnohab	flavo	luteo	Alcaligenaceae	polynuc	Chitinophagaceae	Ralstonia	Sphingomonas	synechococcus	nostocaceae	microcystis	haptophyceae	cryptophyta	streptphyt	stramenopiles	phytos
run4.8	ERS1884243	1/7/14	18-20	summer strat.	hypo	hypo	4	2014	19	4.6	7.95	1.778524303	26.7	20	0.85	18.84	17.7053	9.68	34.14068966	648.6	1223.38	11.56666667	0	5.049655172	0.5	18.4	1.375	6.59	NA	NA	0.064	0.05	1.98	0.8666667	52.1333333	22.1333333	5.6666667	1.3333333	0.4666667	0.2	0.8	1.3333333	1.1333333	0	0	0	0	0.0666667	0	0.2666667	0	0.7333333	1.0666667
run4.42	ERS1884191	10/6/14	Aug-20	summer strat.	hypo	hypo	4	2014	14	4	8.14	1.769863529	26.3	20	0.65	13.86	2.1069	2.18	44.44275862	592.88	824	10.98461538	0	4.999310345	0.4	68.31538462	0.9	0.65	NA	NA	0.065	0.055	7.598461538	0.4666667	64.8666667	11.6666667	7	2.1333333	0.8666667	0.0666667	0.8	1.2	1.0666667	0	0	0	0.0666667	0	0	0.4	0	0.7333333	1.2
run4.187	ERS1884148	11/6/13	Oct-20	summer strat.	hypo	hypo	4	2013	15	4	8.08	1.760477419	26.6	25	0.75	17.33	5.785	3.835	33.41055172	623.36	274.96	8.954545455	0	5.987793103	0.9	65.73636364	1.2	3.27	NA	NA	0.087	0.072	7.603636364	0.4666667	45.2666667	22.8666667	3.9333333	1	1.1333333	0.3333333	0.8	1.2666667	0.6	0	0.0666667	0	0	0.0666667	0.0666667	0.2	0	10.2666667	10.7333333
run4.75	ERS1884227	11/7/12	Oct-20	summer strat.	hypo	hypo	4	2012	15	5.4	8.21	1.872366412	26.9	15	0.9	19.5	24.231	7.367	50.00689655	616	896.4	15.44545455	0	7.726551724	1	62.07272727	1.6	6.7	1.803	5.564	NA	NA	6.111818182	2.0666667	40.2	17.8666667	8.6666667	1.6666667	1.7333333	0.6666667	1	1.5333333	2	0	0.0666667	0.8666667	0	0.0666667	0	1.4	0.2666667	0.3333333	2.9333333
run4.46	ERS1884195	12/8/14	Dec-20	summer strat.	hypo	hypo	4	2014	16	3	7.99	1.762011429	26.4	20	2.2	41.19	6.2455	61.34	94.015	714.85	1999.45	14.5875	0	16.09583333	2.2	10.65	3	14.93	NA	NA	0.107	0.052	1.075	3.9333333	24.9333333	14.5333333	3.8	0.4666667	0.4	0.0666667	0.1333333	0.1333333	6.1333333	0	0.0666667	2.4	0.3333333	5.2666667	0.0666667	4.4	0	1.4666667	14.9333333
run4.152	ERS1884110	13/5/13	Jun-20	summer strat.	hypo	hypo	4	2013	14	1.7	8.53	1.780258065	26.1	35	2.3	34.17	3.118	0.227	127.6297931	723.87	22.144	6.96	0	19.11448276	3.9	94.92666667	7.2	2.42	NA	NA	0.127	0.085	11.478	1.6	51.2	15.9333333	6.6666667	1.6666667	1.3333333	0.2666667	0.2	1.5333333	1.2	0	0.0666667	0.7333333	0	0.0666667	0	2	0.0666667	0.4	3.4
run4.200	ERS1884162	13/8/13	Oct-20	summer strat.	hypo	hypo	4	2013	15	3.8	7.69	1.851913253	26.8	30	1.9	36.79	15.961	63.008	55.79310345	703	1763.084	12.32727273	0	7.811034483	1.1	6.472727273	2.5	26.21	NA	NA	0.101	0.064	0.669090909	1.5333333	38.6	20.7333333	7.6666667	1.7333333	2.0666667	0.6666667	0.3333333	2.4	1.9333333	0	0.0666667	0.2	0	0	0.0666667	4.5333333	0	0.0666667	5
run4.109	ERS1884064	13/9/11	18-20	summer strat.	hypo	hypo	4	2011	19	3	7.86	1.86	28.3	17.5	2.8	136	123	6.7	59	755	1908	15	0	10	1	1.1	2.4	115	1.2	5.5	NA	NA	0.113333333	1.2	25.8	31.4666667	9.7333333	2.9333333	1.5333333	0.1333333	1.2666667	1.4666667	1.5333333	0	0	0.2	0	0.0666667	0.1333333	3.0666667	0	0.4666667	4.2666667
run4.108	ERS1884063	14/8/12	14-20	summer strat.	hypo	hypo	4	2012	17	2.7	7.91	1.94696965	26.8	15	1.33	52.31	25	87.553	48.62958621	731.936	2156.8	16.24285714	0	9.150689655	0.7	2.928571429	1.9	37.41	4.046	NA	NA	NA	0.3	1	43.4	15	11	2.4	3.1333333	0.2	0.1333333	2	2.2666667	0	0	0	0.0666667	0	0.1333333	1.6666667	0.0666667	0.4666667	2.4666667
run4.156	ERS1884114	16/5/13	0-4	summer strat.	hypo	hypo	4	2013	2	2.5	8.49	NA	NA	NA	NA	26.55	NA	0.651	NA	674.97	NA	8.4	0	NA	NA	115.6	NA	3.03	NA	NA	NA	NA	13.66	0.5333333	45.6666667	31	5.2	1.0666667	0.4	0.0666667	0.2	1.4	0.6666667	0	0.0666667	0	0	0	0	1.5333333	0	0.7333333	2.2666667
run4.158	ERS1884116	16/5/13	Jun-20	summer strat.	hypo	hypo	4	2013	14	2.5	8.49	NA	NA	NA	NA	26.55	NA	0.651	NA	674.97	NA	7.113333333	0	NA	NA	89.46	NA	3.03	NA	NA	NA	NA	10.87466667	1	50.4	18.0666667	8	2.0666667	2.8	0.1333333	0.4	1.2	0.5333333	0	0.0666667	0.0666667	0	0.0666667	0.0666667	1.9333333	0	0.2	2.4
run4.1	ERS1884053	16/7/14	Oct-20	summer strat.	hypo	hypo	4	2014	15	5.6	7.87	1.764464822	26.5	20	1.2	30.08	19.5817	30.53	39.254	673.28	1508.69	14.45454545	0	2.011666667	0.7	51.92727273	1.3	10.52	NA	NA	0.065	0.046	5.4	9.0666667	57.2	6.8	0.8666667	0.1333333	0.0666667	0.1333333	0.1333333	0.5333333	0.9333333	0	0	11.6	0.0666667	0	0	1.4	0	0.0666667	13.6
run4.63	ERS1884214	16/8/11	Dec-20	summer strat.	hypo	hypo	4	2011	16	2.8	8.04	1.78	27.1	15	1.98	31	5	8.2	72	694	1600	15.6	0	10	1.6	1.9	3.6	10	0.4	7.8	NA	NA	0.196666667	3.9333333	77.0666667	7.2666667	0.6	0.0666667	0.0666667	0	0.2	0.0666667	1	0	0	1.5333333	0	0	0	0.1333333	0	0	1.8666667
run4.11	ERS1884075	16/9/14	14-20	summer strat.	hypo	hypo	4	2014	17	3.8	8	1.789337705	27	17.5	1.08	44.97	25.2853	9.07	41.28	681.02	1340.64	15.07142857	0	6.562758621	0.6	8.014285714	1.7	24.85	NA	NA	0.07	0.05	0.81	1.3333333	47.4666667	19.8666667	5.5333333	0.9333333	1.2	0.1333333	0.7333333	2.6	1.2	0	0	3.4666667	0.0666667	0.1333333	0	0.8666667	0.1333333	0.5333333	5.3333333
run4.47	ERS1884196	17/6/14	16-20	summer strat.	hypo	hypo	4	2014	18	3.3	8.13	1.827187045	26.6	20	0.77	14.62	9.4168	5.56	32.39384615	594.06	977.41	11.4	0	4.604827586	1.4	57.68	1.4	2.31	NA	NA	0.061	0.048	6.35	6.8666667	37.4	6	1.8666667	0.4	1.2	0.6	0.0666667	0.1333333	5.8666667	0	0.2666667	2.6	0.0666667	0.1333333	0	3.2666667	0	0.0666667	6.6666667
run4.191	ERS1884153	17/7/13	Dec-20	summer strat.	hypo	hypo	4	2013	16	4	7.9	1.859380645	26.6	30	1.07	24.23	8.629	27.546	41.4402069	665.295	905.412	10.3	0	5.953793103	0.4	21.68888889	1.1	9.65	NA	NA	0.082	0.064	2.441111111	1.4	43.8	19.2	7.4	2.1333333	1.6	0.2666667	0.4	1.6	1.3333333	0	0	0.2666667	0	0.0666667	0.0666667	3.5333333	0.2	0.2666667	4.4
run4.96	ERS1884250	18/6/12	Dec-14	summer strat.	hypo	hypo	4	2012	13	4.5	7.99	1.888193208	27	15	0.84	15.3	9.1	2.91	43.05703448	586.162	509.312	13.5	0	4.882758621	0.5	82	1.5	3.04	0.16	2.75	NA	NA	8.563333333	2	26.6666667	22.2666667	9	2.0666667	2.1333333	0.2666667	0.7333333	2.1333333	3.1333333	0	0.1333333	0.6666667	0.0666667	0	0.1333333	3.5333333	0.3333333	0.6	5.5333333
run4.185	ERS1884146	18/6/13	Oct-20	summer strat.	hypo	hypo	4	2013	15	3.5	7.9	1.907733333	26.5	35	1.07	19.56	8.827	7.078	37.71634483	631.647	378.116	9.472727273	0	5.402896552	0.3	57.75454545	1.2	5.02	NA	NA	0.088	0.071	6.632727273	4.4	61.4	15.6	0.4666667	0.2	0.2	0.0666667	0.4	0.2	0.7333333	0	0	8.2666667	0	0	0	0	0	0	8.3333333
run4.38	ERS1884186	19/8/14	Dec-20	summer strat.	hypo	hypo	4	2014	16	3.4	7.63	1.8396	26.5	20	2.4	56.45	6.654	98.82	40.93230769	686	2766.44	14.61111111	0	7.889230769	1	3.333333333	2.4	43.65	NA	NA	0.119	0.053	0.332222222	3.8	39.1333333	25.2666667	2.4666667	0.8	0.3333333	0.2	0.5333333	1.2	2	0	0	2.1333333	0	0.1333333	0	0.4	0	0.1333333	2.9333333
run4.199	ERS1884161	2/8/11	14-20	summer strat.	hypo	hypo	4	2011	17	4.8	7.66	2.03	27.4	17.5	3	88	14	116	44	692	3920	15.93636364	0	8	0.6	20.24545455	2.1	70	3.2	112.8	NA	NA	1.929090909	4.3333333	63.2	10	0.9333333	0.2	0.4	0.0666667	0.3333333	0.3333333	0.6666667	0	0.1333333	9.6	0.0666667	0.1333333	0.0666667	0.5333333	0	0.1333333	10.6
run4.4	ERS1884199	2/9/14	14-20	summer strat.	hypo	hypo	4	2014	17	3.75	7.88	1.896282353	26.2	17.5	1.48	36.15	25.3838	36.07	37.933	701.62	1340.64	15.04285714	0	6.255517241	0.5	2.428571429	1.5	19.73	NA	NA	0.076	0.042	0.247142857	3.3333333	53.9333333	20.0666667	2.1333333	0.4	0.5333333	0.2666667	0.0666667	0.6	1.4	0	0.0666667	1.6	0.1333333	0.0666667	0	0.5333333	0.0666667	0	2.4
run4.163	ERS1884122	20/5/13	Oct-20	summer strat.	hypo	hypo	4	2013	15	3.35	8.29	1.8052608	26.1	35	1.34	21.25	8.934	1.72	55.75413793	669.82	57.688	7.190909091	0	7.792413793	0.9	86.20909091	2.2	4.54	NA	NA	0.105	0.085	10.45363636	1	71.1333333	12.3333333	1.3333333	0.5333333	0.4	0.1333333	0.1333333	1.0666667	0.8666667	0	0	3.4	0	0.0666667	0	0.2666667	0	0	3.8
run4.2	ERS1884177	21/7/14	Dec-20	summer strat.	hypo	hypo	4	2014	16	5.4	7.86	1.8445056	26.6	20.5	0.81	29.09	14.9835	45.09	22.52416667	929.73	1435.42	14.41111111	0	4.845833333	0.4	36.38888889	0.9	16.8	NA	NA	0.067	0.048	3.735555556	0.2666667	75.8	15.6666667	1	0.3333333	0.2666667	0	0.2666667	0.6666667	0.1333333	0	0	0.3333333	0	0	0.0666667	0.6	0	0	1.0666667
run4.76	ERS1884228	21/8/12	14-20	summer strat.	hypo	hypo	4	2012	17	3.3	7.94	1.841949425	27.2	15	2	113.29	23.647	0.191	66.51717241	704.386	1744.8	16.14285714	0	12.54551724	1.2	1.1	2.6	37.05	3.552	-3.361	NA	NA	0.124285714	1.4666667	75	7.6666667	1.6666667	0.3333333	0.6666667	0	0.2	1.3333333	0.6666667	0	0	1.1333333	0.0666667	0.2	0	1.1333333	0	0	2.6
run4.166	ERS1884125	23/5/13	0-04	summer strat.	hypo	hypo	4	2013	2	3.6	8.1	NA	NA	NA	NA	21.52	NA	0.965	NA	683.293	NA	9.4	0	NA	NA	110	NA	5.11	NA	NA	NA	NA	12.63	0.6	44.4666667	28.2	4.2666667	0.7333333	1.4666667	0.2	0.5333333	1.5333333	0.6	0	0	2.8	0	0.0666667	0	0.7333333	0.3333333	0.4	4.4666667
run4.168	ERS1884127	23/5/13	Oct-20	summer strat.	hypo	hypo	4	2013	15	3.6	8.1	NA	NA	NA	NA	21.52	NA	0.965	NA	683.293	NA	7.336363636	0	NA	NA	86.92727273	NA	5.11	NA	NA	NA	NA	10.46090909	0.6666667	59.6	23.0666667	0.0666667	0	0	0	0.4666667	0.6	0.1333333	0	0	3.1333333	0	0	0	0.1333333	0	0	3.4666667
run4.26	ERS1884173	23/6/14	14-20	summer strat.	hypo	hypo	4	2014	17	4	8.05	1.807326316	26.6	20	1.01	19.5	10.0053	5.94	45.83310345	635.77	970.82	11.5	0	5.084827586	0.5	40.2	1	3.98	NA	NA	0.063	0.051	4.405	2.6666667	57.4666667	18.5333333	1.8	0.5333333	0.2666667	0	0.2	0.1333333	2.7333333	0	0	2.2	0.0666667	0.5333333	0	0.5333333	0	0.1333333	3.5333333
run4.50	ERS1884200	23/8/11	14-20	summer strat.	hypo	hypo	4	2011	17	3	7.72	1.83	27.3	17.5	2.3	64	33	25.8	62	658	1848	15.21428571	0	10	1.1	0.585714286	3.4	39	3.8	22	NA	NA	0.06	2.7333333	66.2666667	10.0666667	1.0666667	0.2	0.0666667	0.0666667	0.1333333	0.1333333	1.7333333	0	0	2.8666667	0.3333333	0.3333333	0	0.8666667	0	0.0666667	5.5333333
run4.92	ERS1884246	24/7/12	16-20	summer strat.	hypo	hypo	4	2012	18	2	8.05	1.827576471	27.1	15	2.7	35.72	19.3	22.11	205.1724138	896.302	1456	15.06	0	19.67724138	2.266666667	20.36	4.8	6.9	1.9	20.21	NA	NA	2.038	0.6	49.4666667	21.1333333	0.5333333	0.1333333	0.1333333	4.0666667	0.2	0.0666667	0.6666667	0	0.0666667	0.6	0	0.0666667	0	0.1333333	0	0.2	1.5333333
run4.194	ERS1884156	24/7/13	Dec-20	summer strat.	hypo	hypo	4	2013	16	3.2	7.64	1.8445056	26.3	30	2.6	42.9	12.385	66.93	50.96586207	692.707	1741.46	10.64444444	0	7.255172414	1.125	14.27777778	2.75	29.1	NA	NA	0.101	0.064	1.593333333	1.4666667	47.6666667	23.0666667	1.6	0.6	0.1333333	1.6	0.2	0.3333333	2.7333333	0	0.0666667	0.4	0	0.2666667	0	0.1333333	0	0.2666667	1.2
run4.15	ERS1884118	24/9/14	18-20	summer strat.	hypo	hypo	4	2014	19	3	8.01	1.789337705	27.3	15	2.5	43.49	37.122	28.71	61.12758621	760.45	1373.28	14.6	0	8.1	-0.8	1.65	2.8	29.31	NA	NA	0.078	0.043	0.17	0.8	39.9333333	26.5333333	0.5333333	0	0	1.2	0	0.2	0.4	0	0	2.6	0.0666667	0	0	0.2666667	0	0.1333333	3.3333333
run4.183	ERS1884144	26/6/13	Dec-20	summer strat.	hypo	hypo	4	2013	16	4.8	7.76	1.80003871	26.8	22.5	1	23.46	11.184	22.02	25.93248276	632.655	891.156	9.972727273	0	5.234482759	0.8	48.12727273	1.7	10.9	NA	NA	0.092	0.075	5.449090909	0.2666667	25.3333333	36.4666667	0.3333333	0	0	0.3333333	0.6666667	0.0666667	0.2666667	0	0.0666667	3	0.0666667	0.0666667	0	0	0	0.3333333	3.8666667
run4.35	ERS1884183	26/8/14	14-20	summer strat.	hypo	hypo	4	2014	17	2.5	8	1.740696774	26.4	17.5	1.59	36	11.152	46.26	52.962	738.65	1494.86	14.86666667	0	7.551034483	1.2	0.533333333	2.7	17.7	NA	NA	0.083	0.048	0.053333333	1	53.8	11.8666667	1.2	0.2	0.2	0.2	0.2666667	0	0.4666667	0	0.2666667	17.3333333	0.0666667	0.2	0.0666667	0.4666667	0	0.2	18.7333333
run4.171	ERS1884131	27/5/13	0-04	summer strat.	hypo	hypo	4	2013	2	4.6	8.07	1.970120482	26.5	35	1.39	20.71	12.368	2.55	47.97662069	635.123	145.644	8.3	0	5.942068966	0.7	90.9	1.7	6.25	NA	NA	0.109	0.08	10.82	2.0666667	40.6666667	13.2	2.8666667	0.6	0.4666667	0.0666667	0.4666667	0.2666667	2.0666667	0	0.1333333	8.1333333	0.0666667	0.2666667	0	0.3333333	0	0.4	9.6
run4.173	ERS1884133	27/5/13	Oct-18	summer strat.	hypo	hypo	4	2013	14	4.6	8.07	1.970120482	26.5	35	1.39	20.71	12.368	2.55	47.97662069	635.123	145.644	7.766666667	0	5.942068966	0.7	84.05555556	1.7	6.25	NA	NA	0.109	0.08	10.13222222	4.9333333	27.1333333	6.9333333	4.6666667	0.8666667	0.8666667	0.2	0.2666667	0.1333333	3.9333333	0	0.2	2.6666667	0.7333333	0.6	0	2.8666667	0	1.4666667	8.8666667
run4.86	ERS1884239	27/6/12	14-20	summer strat.	hypo	hypo	4	2012	17	NA	7.69	1.728109091	27.3	15	1.1	20.29	13.836	10.204	32.46034483	594.409	854.68	13.47142857	0	5.436551724	0.9	65.25714286	1.9	8.18	1.07	9.134	NA	NA	6.754285714	0.9333333	10.6	7.4666667	5.2	0.7333333	14.1333333	0	0.6	0.4666667	1.4	0	0.0666667	0.1333333	0	0	0.2	2.8	0	40.9333333	44.2666667
run4.100	ERS1884055	28/8/12	16-20	summer strat.	hypo	hypo	4	2012	18	2.5	8.02	1.895345455	27.1	17.5	2.1	44.19	26.746	25.581	67.93103448	691	978.564	16.075	0	10.52482759	1.428571429	0.54	3.428571429	25.89	2.858	22.723	NA	NA	0.062	0.5333333	52.6	20.2	1.0666667	0	0.0666667	1.2	0.3333333	0.2	0.7333333	0	0.0666667	1.4	0.4666667	0.4	0	0.8	0	0.4666667	3.7333333
run4.117	ERS1884072	29/5/12	Dec-20	summer strat.	hypo	hypo	4	2012	16	4	8.12	1.984708397	27.8	15	0.82	13.4	6.6	2	26.06896552	581	233.456	10.53333333	0	4.075862069	0.4	83.97777778	1.6	3.42	0.173	NA	NA	NA	9.301111111	0.2666667	8.4666667	44.6	0.0666667	0	0.0666667	1.8	0.6666667	0.1333333	0.0666667	0	0.1333333	2.2666667	0.7333333	0	0	0.0666667	0	0.1333333	3.4
run4.13	ERS1884096	29/7/14	Oct-20	summer strat.	hypo	hypo	4	2014	15	3.4	7.88	1.802057143	26.6	15	0.95	29.86	11.9467	66.62	51.212	703.67	2164.16	14.91818182	0	5.113333333	0.9	27.31818182	1.6	15.75	NA	NA	0.064	0.046	2.760909091	1.6	51.0666667	12.5333333	1.8	0.3333333	0.4666667	0.8666667	0.3333333	0.2	1.8	0	0.0666667	2.8	1.8	0.1333333	0	0.3333333	0	0.0666667	5.7333333
run4.189	ERS1884150	3/6/13	Oct-20	summer strat.	hypo	hypo	4	2013	15	3.16	8.18	1.774790244	26.5	30	1.25	17.3	7.724	1.462	55.00606897	623.281	169.716	8.190909091	0	7.235862069	0.9	75.41818182	1.6	2.46	NA	NA	0.098	0.075	8.932727273	1.3333333	68.1333333	6	1.1333333	0.1333333	0.2	0.6666667	0.2	0.7333333	1.0666667	0	0.0666667	3.5333333	0.6666667	0.0666667	0.0666667	0.4666667	0	0.0666667	5
run4.181	ERS1884142	3/7/13	Oct-20	summer strat.	hypo	hypo	4	2013	15	5.9	7.95	1.859380645	26.5	30	0.62	16.42	9.121	13.698	28.58924138	624.3715	584.672	10.00909091	0	4.326896552	0.6	34.88181818	0.9	5.29	NA	NA	0.076	0.068	3.935454545	1.6666667	31.7333333	16.5333333	1.2666667	0.1333333	0.4	3.6	0.2	0.4666667	1.9333333	0	0.1333333	5.2666667	1.0666667	0.5333333	0	0.3333333	0	0.2	7.7333333
run4.178	ERS1884138	30/5/13	Dec-20	summer strat.	hypo	hypo	4	2013	16	4.1	8.2	NA	NA	NA	NA	17.62	NA	0.418	NA	679.894	NA	8.2375	0	NA	NA	82.5625	NA	3.91	NA	NA	NA	NA	9.73375	5.2	24.7333333	6.8666667	4.6	1.1333333	0.4666667	0	0.6666667	0.2	2.4	0	0	0.3333333	0	1.4666667	0.0666667	7.2666667	0.0666667	0.7333333	10.4666667
run4.52	ERS1884202	30/8/11	Dec-20	summer strat.	hypo	hypo	4	2011	16	3.34	7.88	1.84	27.9	15	2.1	58	26	9.1	49	684	1380	15.71111111	0	9	1	1.833333333	2.5	42	1.8	7.3	NA	NA	0.187777778	1.8	10.2	8.3333333	4.3333333	0.4666667	1.2666667	0	0.3333333	0.6666667	1	0	0.2666667	0.7333333	0.1333333	0	0.8666667	14.6	0.0666667	21.6	39.8
run4.115	ERS1884070	31/7/12	Dec-20	summer strat.	hypo	hypo	4	2012	16	3.1	8.08	1.703076226	26.8	17.5	1.9	36.5	29.5	38.6	44.68965517	665.5	1682	16.05555556	0	8.106896552	0.7	24.08888889	2.1	15.78	2.353	36.247	NA	NA	2.348888889	9.9333333	39.6666667	8.8	3.2	0.5333333	1.7333333	0	0.2	0.6	5.8	0	0.0666667	2	1.4	0	0.0666667	0.5333333	0	0.4666667	5.0666667
run4.196	ERS1884158	31/7/13	Dec-20	summer strat.	hypo	hypo	4	2013	16	3.8	7.97	1.798068526	26.6	30	1.39	28.14	16.397	17.071	22.012	695.967	1073.46	11.11111111	0	8.035862069	1.2	8.222222222	2	8.57	NA	NA	0.079	0.066	0.894444444	1	12.4	5.5333333	6	1	5.8	0.2666667	0.0666667	0.5333333	0.9333333	0	0.2	0.2666667	0	0	0.3333333	5.2666667	0	48.5333333	54.7333333
run4.114	ERS1884069	4/7/12	14-20	summer strat.	hypo	hypo	4	2012	17	NA	8.02	1.907733333	26.1	15	1.36	19.14	19.602	10.796	36.65262069	635.779	968.028	14.62857143	0	5.231724138	0.9	61.75714286	2.5	6.72	1.835	8.961	NA	NA	6.327142857	1.2	22.4	10.3333333	8.1333333	1.4666667	2.6	0.0666667	0.4	0.2666667	3.7333333	0	0.0666667	7.2	0.0666667	1.7333333	0	1.3333333	0	2.0666667	12.6
run4.203	ERS1884164	5/8/13	Dec-20	summer strat.	hypo	hypo	4	2013	16	3.7	7.79	1.815458268	26.9	30	2.4	33.68	9.693	45.085	76.68965517	680	1524.74	11.2	0	11.74758621	1.1	3.777777778	2.2	18.7	NA	NA	0.095	0.066	0.418888889	14.0666667	31.2	4.7333333	2	0.4666667	2.0666667	0	0.2	0.2666667	5.6	0	0	4.8666667	4.2666667	0.2666667	0	2.2666667	0	0.0666667	12.9333333
run4.37	ERS1884185	5/8/14	Dec-20	summer strat.	hypo	hypo	4	2014	16	3.7	7.75	1.809442623	26.5	17.5	1.36	40.03	19.947	75.89	34.46133333	738.66	2431	14.78888889	0	8.134	0.9	16.38888889	1.7	26.1	NA	NA	0.078	0.049	1.674444444	2.6	62.6666667	5.8	3.6	0.5333333	0.8	0	0	0.2666667	1.6666667	0	0	0.8666667	0.5333333	0.2	0	0.4	0	0.5333333	2.9333333
run4.118	ERS1884073	6/9/11	14-20	summer strat.	hypo	hypo	4	2011	17	2.6	7.9	1.79	28.1	17.5	2.1	70	56	11	11	653	1363	15.55714286	0	6	0.7	0.785714286	1.9	55	1.3	9.7	NA	NA	0.084285714	3.2666667	37.4666667	5.9333333	2.6666667	0.7333333	0.1333333	0.2	0.2	0.1333333	2.6	0	0	8	1	0.8	0.1333333	0.4666667	0	1.1333333	12.4
run4.190	ERS1884152	8/7/13	Dec-20	summer strat.	hypo	hypo	4	2013	16	3.57	7.95	1.837156972	26.5	22.5	0.74	18.84	7.169	13.379	37.61855172	612.075	689.384	10.17777778	0	7.778275862	0.6	35.47777778	1.3	7.33	NA	NA	0.075	0.062	4.06	0.5333333	10.2666667	2.6	5.4	0.7333333	9.1333333	0	0.0666667	0.2	0.5333333	0	0	0.2666667	0	0.1333333	0.1333333	1.1333333	0	62.6	64.3333333
run4.62	ERS1884213	9/8/11	Oct-20	summer strat.	hypo	hypo	4	2011	15	3	7.98	1.88	27.1	15	2.1	43	10	42	79	668	2464	15.50909091	0	14	1.125	4.618181818	3	23	1	41	NA	NA	0.477272727	3	14	8.9333333	4.1333333	1.1333333	0.4666667	0	0.5333333	0.1333333	1.8666667	0	0.2	0.6666667	0.0666667	0.2	0.0666667	7.2666667	0	0.6	8.9333333
run4.113	ERS1884068	9/8/12	Dec-20	summer strat.	hypo	hypo	4	2012	16	3	7.97	1.889564444	26.7	15	1.22	34.32	43.9	39.54	62.62068966	413.479	1657.2	16.57777778	0	7.296551724	0.6	13.61111111	1.9	17.81	3.645	35.895	NA	NA	1.351111111	6.8666667	55	4.6	1.7333333	0.4	1.5333333	0.3333333	0.0666667	0.1333333	1.3333333	0	0	1.8	5.6666667	0.4666667	0	0.2	0	0.1333333	9.2
run4.34	ERS1884182	9/9/14	14-20	summer strat.	hypo	hypo	4	2014	17	4	7.89	1.849652459	27.5	15	1.54	43.7	38.8053	40.14	29.697	744.39	1488.59	15.3	0	4.777241379	1	8.771428571	2	28.89	NA	NA	0.082	0.042	0.87	1.8666667	38.4666667	4	1.8666667	0.2666667	0.6	0.1333333	0.1333333	0.0666667	0.8	0	0	5.6666667	22.0666667	0.0666667	0.0666667	0.6666667	0	0.8	31
run4.41	ERS1884190	12/8/14	6-Dec	summer strat.	meta	meta	4	2014	9	3	8.32	1.762011429	26.4	20	1.9	20.37	4.5353	17.88	130.3375	703.52	1241	16.91428571	NA	14.62666667	2.4	30	3	0.52	NA	NA	0.077	0.047	2.87	10.1333333	44.2	4.7333333	2.3333333	0.6666667	2	0	0.3333333	0.8	4.9333333	0	0.1333333	4.7333333	0.7333333	0.8	0	2.7333333	0	0.1333333	9.3333333
run4.79	ERS1884231	14/8/12	Aug-14	summer strat.	meta	meta	4	2012	11	2.7	8.03	1.756090272	26.8	15	1.63	30.28	26.3	31.236	77.5177931	690.083	1332.4	18.1	NA	10.49	1.1	43.77142857	2.2	12.62	2.809	NA	NA	NA	4.19	2.5333333	15.5333333	5.7333333	9.6666667	1.5333333	0.6666667	0	0.4666667	0.1333333	4.7333333	0	0.1333333	0.7333333	0.4666667	8.2666667	0.0666667	3	0	0.6666667	13.8
run4.27	ERS1884174	29/7/14	14-20	summer strat.	meta	meta	4	2014	17	3.4	8.18	1.802057143	26.6	20	0.85	17.84	9.7567	17.98	59.85	675.22	1354.91	14.57142857	NA	7.608333333	1.2	18.97142857	1.8	1.98	NA	NA	0.064	0.046	1.942857143	5.2	47.9333333	9.0666667	3.1333333	0.8	0.2	0	0.2666667	0.0666667	3.2666667	0	0	1.1333333	0.4666667	7.8666667	0	0.9333333	0	2.6666667	13.4666667
run4.204	ERS1884165	5/8/13	6-Dec	summer strat.	meta	meta	4	2013	9	3.7	8.01	1.815458268	26.8	25	1.45	27.29	12.328	19.124	65.86206897	637	1155.12	16.67142857	NA	10.21413793	1.3	60.1	2	9.32	NA	NA	0.082	0.064	5.695714286	2.9333333	20.5333333	10.7333333	6.7333333	0.7333333	1.6	0	0.2666667	0.2	6.2	0	0	2.4	0	3.1333333	0	0.4666667	0	3.6666667	10.0666667
run4.7	ERS1884232	5/8/14	4-Dec	summer strat.	meta	meta	4	2014	8	3.7	8.19	1.729022951	26.4	17.5	1.15	18.15	23.6119	19.83	63.942	697.44	1424	18.98888889	NA	13.095	1.3	60.02222222	2	5.7	NA	NA	0.072	0.051	5.511111111	5.3333333	38.4666667	5.8666667	3.3333333	1.0666667	0.4666667	0.0666667	0	0.2666667	7.8666667	0	0.0666667	3.2	0.8	4.3333333	0	2.2666667	0	2.5333333	13.3333333
