av_corr,phydist,primary
0.265017002,0.65132,TS_Cafonsi_1_edge
0.205661864,0.70791,TS_Cafonsi_1_edge
0.595506658,0.36708,TS_basal_fonsi_1_edge
0.509022811,0.38065,TS_basal_fonsi_1_edge
0.522345154,0.39485,TS_basal_fonsi_1_edge
0.400521692,0.40099,TS_basal_fonsi_1_edge
-0.4504533,0.41026,TS_basal_fonsi_1_edge
-0.199032258,0.42009,TS_basal_fonsi_1_edge
0.397727447,0.43541,TS_basal_fonsi_1_edge
0.512829968,0.44058,TS_basal_fonsi_1_edge
0.442100501,0.50835,TS_basal_fonsi_1_edge
-0.368966659,0.51295,TS_basal_fonsi_1_edge
0.348088347,0.52471,TS_basal_fonsi_1_edge
0.593200582,0.52888,TS_basal_fonsi_1_edge
-0.451161126,0.53884,TS_basal_fonsi_1_edge
0.482883209,0.62293,TS_basal_fonsi_1_edge
0.529238605,0.62718,TS_basal_fonsi_1_edge
0.482559395,0.65234,TS_basal_fonsi_1_edge
0.289012119,0,TS_Planktop_1_edge
0.335740183,0.00357,TS_Planktop_1_edge
0.376441019,0.00363,TS_Planktop_1_edge
0.395118989,0.00978,TS_Planktop_1_edge
0.458368357,0.00999,TS_Planktop_1_edge
0.360966991,0.01188,TS_Planktop_1_edge
0.428766479,0.01252,TS_Planktop_1_edge
0.364741057,0.0151,TS_Planktop_1_edge
0.337063885,0.01539,TS_Planktop_1_edge
0.338637459,0.01539,TS_Planktop_1_edge
0.333780665,0.01773,TS_Planktop_1_edge
0.333153148,0.01806,TS_Planktop_1_edge
0.415731742,0.02369,TS_Planktop_1_edge
0.313835737,0.02369,TS_Planktop_1_edge
0.460683899,0.02699,TS_Planktop_1_edge
0.275824701,0.03567,TS_Planktop_1_edge
0.273336093,0.0383,TS_Planktop_1_edge
0.481078317,0.04768,TS_Planktop_1_edge
0.327223759,0.04768,TS_Planktop_1_edge
0.458873726,0.05601,TS_Planktop_1_edge
0.4222642,0.05643,TS_Planktop_1_edge
0.432627939,0.05854,TS_Planktop_1_edge
0.475088829,0.05879,TS_Planktop_1_edge
0.210447396,0.05915,TS_Planktop_1_edge
0.332582189,0.06109,TS_Planktop_1_edge
0.502897596,0.06176,TS_Planktop_1_edge
0.455957522,0.06176,TS_Planktop_1_edge
0.431448187,0.06294,TS_Planktop_1_edge
0.553816041,0.06413,TS_Planktop_1_edge
0.276383095,0.06662,TS_Planktop_1_edge
-0.323046186,0.06728,TS_Planktop_1_edge
0.444087168,0.06758,TS_Planktop_1_edge
0.31018095,0.06941,TS_Planktop_1_edge
0.312958625,0.07007,TS_Planktop_1_edge
0.338739912,0.07061,TS_Planktop_1_edge
0.424673027,0.07345,TS_Planktop_1_edge
0.416466316,0.07485,TS_Planktop_1_edge
0.356176766,0.07485,TS_Planktop_1_edge
0.474308552,0.07556,TS_Planktop_1_edge
0.358957625,0.07722,TS_Planktop_1_edge
0.489458826,0.07811,TS_Planktop_1_edge
0.286410149,0.07853,TS_Planktop_1_edge
0.345764967,0.07879,TS_Planktop_1_edge
0.418294585,0.08108,TS_Planktop_1_edge
0.380572047,0.08192,TS_Planktop_1_edge
0.421075141,0.08234,TS_Planktop_1_edge
0.370686517,0.08345,TS_Planktop_1_edge
0.328232869,0.08421,TS_Planktop_1_edge
0.271028346,0.08445,TS_Planktop_1_edge
0.435124235,0.08468,TS_Planktop_1_edge
0.463535555,0.08479,TS_Planktop_1_edge
0.425060327,0.08611,TS_Planktop_1_edge
0.246418651,0.08732,TS_Planktop_1_edge
-0.386314528,0.09317,TS_Planktop_1_edge
0.585201446,0.09625,TS_Planktop_1_edge
0.524883311,0.09633,TS_Planktop_1_edge
0.517414686,0.09638,TS_Planktop_1_edge
0.520197786,0.09667,TS_Planktop_1_edge
0.320043016,0.09667,TS_Planktop_1_edge
0.476546127,0.09778,TS_Planktop_1_edge
0.530254214,0.09934,TS_Planktop_1_edge
0.440413765,0.10015,TS_Planktop_1_edge
0.531633424,0.10074,TS_Planktop_1_edge
0.586899323,0.10074,TS_Planktop_1_edge
0.366425304,0.10104,TS_Planktop_1_edge
0.251366021,0.10112,TS_Planktop_1_edge
0.418544909,0.10145,TS_Planktop_1_edge
0.501216561,0.10311,TS_Planktop_1_edge
0.401424012,0.1036,TS_Planktop_1_edge
0.461965123,0.104,TS_Planktop_1_edge
-0.307448356,0.10519,TS_Planktop_1_edge
0.382344553,0.10656,TS_Planktop_1_edge
-0.331646617,0.29418,TS_Planktop_1_edge
0.345813526,0.29878,TS_Planktop_1_edge
0.214489439,0.31008,TS_Planktop_1_edge
0.268589067,0.31462,TS_Planktop_1_edge
-0.342169606,0.31471,TS_Planktop_1_edge
0.488873627,0.32078,TS_Planktop_1_edge
0.320889189,0.32951,TS_Planktop_1_edge
0.567938941,0.3332,TS_Planktop_1_edge
0.4533022,0.33526,TS_Planktop_1_edge
0.288562967,0.3378,TS_Planktop_1_edge
0.386332418,0.33895,TS_Planktop_1_edge
0.308154946,0.34148,TS_Planktop_1_edge
0.518828543,0.34403,TS_Planktop_1_edge
0.417114027,0.34587,TS_Planktop_1_edge
0.333728044,0.34669,TS_Planktop_1_edge
0.397205018,0.34956,TS_Planktop_1_edge
0.433286463,0.35248,TS_Planktop_1_edge
0.586904104,0.35373,TS_Planktop_1_edge
0.550062025,0.35733,TS_Planktop_1_edge
0.484430563,0.36369,TS_Planktop_1_edge
-0.336816057,0.36369,TS_Planktop_1_edge
0.388977772,0.37301,TS_Planktop_1_edge
0.370549639,0.50214,TS_Planktop_1_edge
0.442100501,0.50835,TS_Planktop_1_edge
-0.159605695,0.51072,TS_Planktop_1_edge
-0.368966659,0.51295,TS_Planktop_1_edge
0.391344691,0.51634,TS_Planktop_1_edge
0.595560667,0.51944,TS_Planktop_1_edge
-0.367150221,0.52094,TS_Planktop_1_edge
0.379803713,0.52267,TS_Planktop_1_edge
-0.397751702,0.52404,TS_Planktop_1_edge
0.348088347,0.52471,TS_Planktop_1_edge
0.593200582,0.52888,TS_Planktop_1_edge
-0.396227618,0.53175,TS_Planktop_1_edge
-0.329357967,0.53263,TS_Planktop_1_edge
0.426803133,0.5353,TS_Planktop_1_edge
0.401107402,0.53687,TS_Planktop_1_edge
-0.451161126,0.53884,TS_Planktop_1_edge
0.476274368,0.53997,TS_Planktop_1_edge
-0.433580915,0.54158,TS_Planktop_1_edge
0.349504535,0.5458,TS_Planktop_1_edge
-0.323529377,0.54811,TS_Planktop_1_edge
0.199824191,0.54869,TS_Planktop_1_edge
0.380975131,0.55153,TS_Planktop_1_edge
0.449521966,0.5569,TS_Planktop_1_edge
0.366028098,0.55708,TS_Planktop_1_edge
-0.370781905,0.558,TS_Planktop_1_edge
-0.445184086,0.56211,TS_Planktop_1_edge
0.323098105,0.56397,TS_Planktop_1_edge
0.359085776,0.56439,TS_Planktop_1_edge
0.242291124,0.5665,TS_Planktop_1_edge
0.209749246,0.56686,TS_Planktop_1_edge
0.270725671,0.56905,TS_Planktop_1_edge
0.398964213,0.57046,TS_Planktop_1_edge
0.326147823,0.57171,TS_Planktop_1_edge
0.336569837,0.57677,TS_Planktop_1_edge
0.441184029,0.57743,TS_Planktop_1_edge
0.21010361,0.57747,TS_Planktop_1_edge
0.535396821,0.5826,TS_Planktop_1_edge
0.426325664,0.58604,TS_Planktop_1_edge
0.208223055,0.58604,TS_Planktop_1_edge
-0.347795271,0.58739,TS_Planktop_1_edge
0.261188665,0.58838,TS_Planktop_1_edge
-0.369342114,0.59256,TS_Planktop_1_edge
0.230983851,0.59307,TS_Planktop_1_edge
0.390410221,0.59606,TS_Planktop_1_edge
-0.308933841,0.63402,TS_Planktop_1_edge
0.415747368,0.68239,TS_Planktop_1_edge
-0.329583629,0.68699,TS_Planktop_1_edge
0.363755662,0.70292,TS_Planktop_1_edge
-0.408264309,0.71288,TS_Planktop_1_edge
-0.31435619,0.72278,TS_Planktop_1_edge
-0.261761298,0.74332,TS_Planktop_1_edge
0.421899123,0,TS_Nanopel_1_edge
0.371393124,0.00109,TS_Nanopel_1_edge
0.550694474,0.00345,TS_Nanopel_1_edge
0.447603628,0.00345,TS_Nanopel_1_edge
0.472980481,0.00685,TS_Nanopel_1_edge
0.357493956,0.0127,TS_Nanopel_1_edge
0.435355664,0.0127,TS_Nanopel_1_edge
0.350093164,0.01507,TS_Nanopel_1_edge
0.358804977,0.02141,TS_Nanopel_1_edge
0.502897596,0.06176,TS_Nanopel_1_edge
0.455957522,0.06176,TS_Nanopel_1_edge
0.553816041,0.06413,TS_Nanopel_1_edge
0.276383095,0.06662,TS_Nanopel_1_edge
0.444087168,0.06758,TS_Nanopel_1_edge
0.312958625,0.07007,TS_Nanopel_1_edge
0.416466316,0.07485,TS_Nanopel_1_edge
0.356176766,0.07485,TS_Nanopel_1_edge
0.358957625,0.07722,TS_Nanopel_1_edge
0.286410149,0.07853,TS_Nanopel_1_edge
0.345764967,0.07879,TS_Nanopel_1_edge
0.418294585,0.08108,TS_Nanopel_1_edge
0.370686517,0.08345,TS_Nanopel_1_edge
0.425060327,0.08611,TS_Nanopel_1_edge
0.438262386,0.09239,TS_Nanopel_1_edge
0.423438346,0.09239,TS_Nanopel_1_edge
0.476546127,0.09778,TS_Nanopel_1_edge
0.440413765,0.10015,TS_Nanopel_1_edge
0.343825275,0.10055,TS_Nanopel_1_edge
0.531633424,0.10074,TS_Nanopel_1_edge
0.586899323,0.10074,TS_Nanopel_1_edge
0.501216561,0.10311,TS_Nanopel_1_edge
0.401424012,0.1036,TS_Nanopel_1_edge
-0.307448356,0.10519,TS_Nanopel_1_edge
0.382344553,0.10656,TS_Nanopel_1_edge
0.24790867,0.17624,TS_Nanopel_1_edge
0.214195408,0.4916,TS_Nanopel_1_edge
0.399178324,0.50587,TS_Nanopel_1_edge
0.360499567,0.50587,TS_Nanopel_1_edge
-0.350336397,0.5283,TS_Nanopel_1_edge
-0.339801049,0.534,TS_Nanopel_1_edge
-0.341176302,0.53637,TS_Nanopel_1_edge
0.381599458,0.55028,TS_Nanopel_1_edge
0.493835141,0.57206,TS_Nanopel_1_edge
-0.19884141,0.61579,TS_Nanopel_1_edge
-0.182608627,0.67147,TS_Nanopel_1_edge
0.428583925,0.70639,TS_Nanopel_1_edge
-0.321841422,0.98457,TS_Nanopel_1_edge
